"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"State"	"MaxFC"	"InitialState"
"IGKV1-27"	"IGKV1-27"	0.104115556583191	-0.0786149151192417	-0.0687713099041408	-0.0648494119096075	-0.066069981855533	0.942337603075328	-0.0649015416619464	-0.0649276379794622	-0.0673373793390002	-0.0730656269931776	-0.0211375348408091	0.347224186276099	-0.0684796588867356	0.0242935162844976	-0.0697516352721048	-0.0647973658326334	"S01"	0.942337603075328	"IS06"
"FAM177B"	"FAM177B"	-0.169470484918676	-0.0711320307758068	-0.00462463137433168	0.242525623676565	0.106687175055169	0.782968608609691	-0.258135345248913	0.274803214463816	0.374197772248625	0.112416244194239	-0.0388656846447807	0.0660888802168533	-0.254880927828352	-0.11990692843729	0.15566789082365	-0.257721002800681	"S01"	0.782968608609691	"IS06"
"DIRAS1"	"DIRAS1"	-0.111715666813482	0.00992343238561358	-0.114047041461634	-0.107543153956593	-0.10956728860553	0.77681793820993	-0.107629603437265	-0.107672880318422	0.283302578198284	0.251013582469683	-0.114689997838012	0.0074941860266533	-0.113563381404544	-0.0400011105186679	-0.00601563710341698	-0.107456843239131	"S01"	0.77681793820993	"IS06"
"NUP210"	"NUP210"	0.191524242409657	-0.177278013652055	0.0469229781950643	-0.0666918227324131	0.470962287789032	0.758177054780387	-0.380335721147418	0.389892649504979	-0.023507688813271	0.0615026289187109	-0.121676129985269	-0.0431288340191904	0.180206420576274	0.175229030807649	-0.151996794500618	0.34051766670234	"S01"	0.758177054780387	"IS06"
"MATN1"	"MATN1"	0.270857871115803	0.00986656537158187	-0.0987202039817237	-0.0930903770879869	-0.0948424872950439	0.751699422156659	-0.0931652085808229	-0.0932026694608312	-0.0966618177435727	0.118503493055471	-0.11362501909269	-0.101843162982903	-0.0660996603480575	-0.104600649345256	0.355310807956422	-0.0930156657099066	"S01"	0.751699422156659	"IS06"
"GTF2IRD2B"	"GTF2IRD2B"	0.0177447918883028	-0.0974806910020073	-0.151502972956423	0.390720795824418	-0.0481170294113863	0.742482777887305	-0.181583340353947	-0.181656353357708	0.0578746267445078	-0.0363203458585175	-0.175976611279163	0.260147428109514	0.154168639616258	0.241801980370598	-0.0827007248043792	-0.181291874318065	"S01"	0.742482777887305	"IS06"
"SEC62"	"SEC62"	-0.210452460111346	-0.332734602020919	-0.126100853370702	-0.371000262776237	-0.0840012752991971	0.733800231324639	-0.177143833202876	-0.396719990365218	0.197251227828387	0.150066375626568	-0.144811255829948	-0.0207642891620005	0.667801579321003	0.254974772946682	0.0923147904941133	-0.233370801524008	"S01"	0.733800231324639	"IS06"
"UPF2"	"UPF2"	0.0716389586274979	-0.0855199405171765	0.106934255724681	-0.130073279995704	0.228791177439813	0.733560148456405	0.12516993372998	0.170448657528961	-0.194377415845144	-0.000434470738214519	-0.187290513624374	-0.170996072710057	0.114985850892261	0.234592075559635	0.217565216625612	-0.356719332962335	"S01"	0.733560148456405	"IS06"
"SNX2"	"SNX2"	-0.418799693347166	-0.25453227744546	-0.0378481531053065	-0.069816783131682	-0.00330530958351399	0.659814237540356	-0.439476690242726	-0.476214825436995	0.280250275735471	0.433871161347344	-0.388751564241201	0.126267830571363	-0.0119796581465083	0.198927488183142	0.449358858069122	-0.0182201000167565	"S01"	0.659814237540356	"IS06"
"PLD4"	"PLD4"	-0.0760032944734321	-0.178050172518583	0.366921719388512	-0.299279001380249	0.395667671512705	0.620208789576649	0.2297548034315	0.215700405587865	-0.195657967900134	-0.0384447489745624	-0.0523086107616547	0.113184650595313	-0.132208543296103	0.0784292146280033	0.0819193364601767	-0.299038809565337	"S01"	0.620208789576649	"IS06"
"LHPP"	"LHPP"	-0.189461711378381	-0.150277682119534	-0.00963260221547404	0.101093273620494	-0.108022361260576	0.603683584673048	-0.302504841067037	-0.302626475502528	0.464562573035054	-0.0668110918275145	-0.148672997853528	0.548732816413918	0.0329636110869954	0.116689953365326	-0.210288576498356	-0.302019279524393	"S01"	0.603683584673048	"IS06"
"BAIAP3"	"BAIAP3"	-0.119862937635696	-0.041182650379365	0.0511967869006505	-0.115386129121592	0.00969442633623929	0.587727753800787	-0.11547888324468	-0.115525316249603	-0.119812953091227	0.547617920068461	-0.0892242179104113	-0.0837099314369992	-0.121845403525345	-0.0957071200674856	-0.124108622683699	-0.115293523881526	"S01"	0.587727753800787	"IS06"
"SIDT1"	"SIDT1"	-0.0744463888812186	-0.000960780567356307	-0.054944608274723	-0.044866200860681	0.0136354301960003	0.582998504062634	0.153028615069006	0.365396831969644	0.130569629249444	-0.0465509296690443	-0.0374990222238767	0.155969013722971	-0.273415806406568	-0.0504328879400252	0.184235032467583	0.042397502150997	"S01"	0.582998504062634	"IS06"
"QRSL1"	"QRSL1"	-0.128224491978716	-0.242169476533094	0.175727994252526	0.174640025353609	0.243340503733665	0.551865323973023	-0.189703958645244	-0.225653827153428	0.111443578254248	-0.153331503409156	-0.0557367017857163	-0.0574506235088092	0.0491872633457933	0.394070761068558	0.0894215735080532	-0.0960985929966257	"S01"	0.551865323973023	"IS06"
"TSC22D3"	"TSC22D3"	-0.0656358953971584	0.265564804983558	-0.159926553536255	-0.413464929245367	0.00825227851477996	0.505939133867009	0.380248377421052	0.0760095456366317	0.116957976598131	0.0124078179855503	-0.00456797829119533	0.43677490061155	-0.698557361022884	-0.641609706717755	0.450622968489567	-0.0624995510948904	"S01"	0.505939133867009	"IS06"
"FCGR2B"	"FCGR2B"	-0.0311150710220382	-0.129617993914359	0.325310664303973	-0.429006093534569	0.079438397529366	0.495157637012494	0.297923574357186	-0.0991837991036012	0.0111712999079466	0.222226314899808	-0.229620955343213	0.298631017131583	-0.248906815051863	-0.0555984653083025	0.0610716551946948	-0.0661271538413721	"S01"	0.495157637012494	"IS06"
"SP100"	"SP100"	-0.0627845561349897	-0.298458416077363	0.145234878316573	-0.322602397236603	0.173703328669871	0.493807000996363	-0.276347638266908	-0.0522252979805635	0.169470116643142	0.107114025261204	-0.27138796824614	0.487664594507383	-0.0593047461143836	0.09448071540457	0.180304209968527	-0.2790896099176	"S01"	0.493807000996363	"IS06"
"ZNF589"	"ZNF589"	-0.0638157561416866	-0.123172091680916	0.150346819178678	-0.142278413385938	0.344511775222134	0.482418248495999	-0.142392785100878	0.384063514264015	-0.0840791346488353	0.115374191502923	-0.0539470667239327	-0.0114118861623227	0.0905517598255518	0.0773514954201886	-0.153033801006905	-0.142164225253204	"S01"	0.482418248495999	"IS06"
