"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"PDE7B"	"PDE7B"	-0.086480407439052	-0.0795925852109767	-0.0523781876852023	0.325673811541727	0.11737719435793	"S01"	0.325673811541727	"IS04"
"HCLS1"	"HCLS1"	0.00966012190183325	-0.342671911661956	0.0539434023819716	0.322800167701538	0.203720881355627	"S01"	0.322800167701538	"IS04"
"GALNT10"	"GALNT10"	-0.0484613425362028	-0.173609107032568	0.0130620375940926	0.315896383809135	0.102753943824762	"S01"	0.315896383809135	"IS04"
"TRAF5"	"TRAF5"	-0.138600219833832	-0.190873041575206	0.0383299335195056	0.31546152735648	0.224567616077642	"S01"	0.31546152735648	"IS04"
"CHST11"	"CHST11"	0.179785778875356	-0.215706166009944	-0.0663765129302746	0.314061181366239	-0.0444972508818041	"S01"	0.314061181366239	"IS04"
"ZFP36L2"	"ZFP36L2"	0.137799606306946	-0.202507597462569	0.0108242139692513	0.313193795258388	-0.129888788740248	"S01"	0.313193795258388	"IS04"
"AKAP5"	"AKAP5"	-0.130564838308495	-0.281700442369338	0.138094526222339	0.307374182756338	0.191904721796011	"S01"	0.307374182756338	"IS04"
"INTS6L"	"INTS6L"	-0.190992719287106	-0.113142410309577	-0.00301417401250026	0.306783882298823	0.258747282966707	"S01"	0.306783882298823	"IS04"
"IL21"	"IL21"	0.080442251733052	-0.0729687775621492	-0.061691879512756	0.306348032377341	-0.117679801369683	"S01"	0.306348032377341	"IS04"
"RGPD3"	"RGPD3"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
"XAGE2"	"XAGE2"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
"IGKV2D-40"	"IGKV2D-40"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
"KCNT1"	"KCNT1"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
"ADRA1A"	"ADRA1A"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
"CCDC87"	"CCDC87"	-0.0366960295397268	-0.0370751207539801	-0.0386731863037207	0.304141668558074	-0.0323905387092534	"S01"	0.304141668558074	"IS04"
