"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"DENND2D"	"DENND2D"	0.296759162922661	0.319247358791483	-0.288676564983873	0.657141226500611	-0.150013680933157	-0.211536895070214	0.109783805458525	0.0826798792198996	-0.349457491836929	-0.0425634504578894	"S01"	0.657141226500611	"IS04"
"IKZF3"	"IKZF3"	-0.0517663402569249	-0.164232524247354	-0.267502941643963	0.656115261513253	0.0661813061031519	-0.532234982061913	0.180669254447444	0.462416387634077	-0.358859742336413	0.306509528043428	"S01"	0.656115261513253	"IS04"
"TRBC1"	"TRBC1"	-0.0650370385203326	0.302116191876832	-0.44698984097504	0.632783326238619	-0.133980135156771	-0.0235643192947487	-0.571170757389401	-0.415307303584895	0.492218365512205	0.570537703687381	"S01"	0.632783326238619	"IS04"
"TAF7"	"TAF7"	0.0282988899426254	-0.161216996515337	-0.234886593257693	0.611053616737365	0.0351390362622422	0.133385097870046	0.170636439769518	0.0892670066242408	-0.0044983805701486	-0.697248100002492	"S01"	0.611053616737365	"IS04"
"LCK"	"LCK"	0.169639329740845	0.0349730548879939	-0.256462124485326	0.605074879190619	-0.377071483530949	-0.489169428875034	-0.0563368508309412	0.587406292142208	-0.228204444174255	-0.18852871493642	"S01"	0.605074879190619	"IS04"
"PRKACB"	"PRKACB"	-0.172727528149169	0.131291789048227	-0.25561329266968	0.604037759107052	-0.0671560093139318	-0.206483318518392	0.0816202669820178	0.224307871581717	-0.174493043378793	0.1964770060223	"S01"	0.604037759107052	"IS04"
"LRFN1"	"LRFN1"	-0.049304343459422	0.0392047194705026	-0.0258966599289919	0.601705785445347	-0.112191234471656	-0.0196848569792849	-0.027834511727903	-0.0209935023121377	-0.103950204756454	0.00617326806266237	"S01"	0.601705785445347	"IS04"
"PLEKHF1"	"PLEKHF1"	0.299519443017694	-0.226562484978102	-0.224066211381481	0.592168036372291	-0.0605264075822175	-0.123456560525626	-0.0601910118221027	0.170403898663701	-0.153632272049627	-0.228731199054784	"S01"	0.592168036372291	"IS04"
"GPR174"	"GPR174"	-0.219124078508218	0.196748447257055	-0.229373392183292	0.58533860378548	0.0429677701222132	-0.182498265114246	0.486386915348589	0.165899236240573	-0.391446956161431	0.190356499397672	"S01"	0.58533860378548	"IS04"
"APBB1IP"	"APBB1IP"	-0.0512669178568284	0.207807587471343	-0.252326525995496	0.583694881018706	-0.177950406059534	-0.249061773299444	0.0484836382488404	0.281019082855109	-0.311818446355223	0.330172271380491	"S01"	0.583694881018706	"IS04"
"STK17A"	"STK17A"	-0.106049781364486	0.0542356752012237	-0.309984644047488	0.58042344426968	-0.247017882492373	-0.237585318981559	0.344573909558311	0.417364959472551	-0.326655966901836	0.0526157526734422	"S01"	0.58042344426968	"IS04"
"CD96"	"CD96"	-0.418350290956467	0.188872191090201	-0.240137496235952	0.571197194918937	-0.099048861669931	-0.046504226823099	0.21009219932588	0.437618572681388	-0.178306352238417	-0.197268106699783	"S01"	0.571197194918937	"IS04"
"GIMAP6"	"GIMAP6"	-0.118328082785958	0.0722793419874237	-0.141169239345345	0.569156793667843	-0.0623061272268951	-0.0165620958515739	0.0964645314368775	0.311171741709189	-0.376255666912578	0.0550498875084037	"S01"	0.569156793667843	"IS04"
