"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"KUL01.T"	"KUL01.T"	"E13"	0.0201467906031068	0.0290113784684738	TRUE	"E13"
"C118"	"C118"	"E14"	0.00135813566116964	0.00279387907440611	TRUE	"E14"
"C139"	"C139"	"E14"	0.00919089683406869	0.0143857515663684	TRUE	"E14"
"C144"	"C144"	"E14"	3.03814076242876e-07	1.67704975292454e-06	TRUE	"E14"
"C146"	"C146"	"E14"	0.0266747458135752	0.0362373905391965	TRUE	"E14"
"C149"	"C149"	"E14"	0.0283479601433857	0.0381505258004442	TRUE	"E14"
"C109"	"C109"	"E14"	0.138558914688824	0.153536500749332	TRUE	"E14"
"C134"	"C134"	"E14"	0.0677399574788141	0.0819710409827666	TRUE	"E14"
"COL07"	"COL07"	"E15"	0.000386841507019847	0.000928419616847632	TRUE	"E15"
"COL12"	"COL12"	"E15"	0.00338653381569326	0.00609576086824787	TRUE	"E15"
"KUL21.T"	"KUL21.T"	"E15"	0.384841588561581	0.393029707467147	TRUE	"E15"
"C114"	"C114"	"E16"	0.124125166357877	0.140740346106569	TRUE	"E16"
"C116"	"C116"	"E16"	0.076864211563637	0.0922370538763644	TRUE	"E16"
"C129"	"C129"	"E16"	0.0442240062906575	0.0548987664297817	TRUE	"E16"
"C133"	"C133"	"E16"	0.160985237264086	0.174299805759611	TRUE	"E16"
"C135"	"C135"	"E16"	0.055142893183004	0.0678681762252357	TRUE	"E16"
"C136"	"C136"	"E16"	0.102872104320421	0.118508664177125	TRUE	"E16"
"C140"	"C140"	"E16"	0.00591577400061583	0.00979162593205379	TRUE	"E16"
"C150"	"C150"	"E16"	0.0862433921292531	0.101795479234528	TRUE	"E16"
"C153"	"C153"	"E16"	0.100783868469168	0.117039331125486	TRUE	"E16"
"KUL30.T"	"KUL30.T"	"E16"	0.609066002446381	0.609066002446381	TRUE	"E16"
"C155"	"C155"	"E17"	0.139675566653907	0.153536500749332	TRUE	"E17"
"C156"	"C156"	"E17"	0.279106740851359	0.287081219161397	TRUE	"E17"
