"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"CYTIP"	"CYTIP"	0.33457990579102	0.674250646875538	0.349585599413246	0.147184296911154	-0.400707562755943	-0.261202895319537	-0.414861423635323	0.262002219439645	0.373930144929508	0.342219899672032	0.0677464163750399	"S01"	0.674250646875538	"IS02"
"TRAV21"	"TRAV21"	0.477934519719204	0.674142297134238	-0.102705176865038	-0.106205442982412	-0.127263910720461	0.016021845920461	-0.106110276814865	0.0161372696007177	-0.0961193741277507	-0.103830836409811	-0.100954022954296	"S01"	0.674142297134238	"IS02"
"TESPA1"	"TESPA1"	0.379322123223414	0.664811340607667	0.126438417004364	-0.0778812365996002	-0.27512231905064	-0.0231777084140162	-0.226956478947638	-0.0157242722399669	0.295072765868499	0.192342267039585	0.0446804533944715	"S01"	0.664811340607667	"IS02"
"ZNF665"	"ZNF665"	0.00429830319318927	0.658719714308367	0.0967331156077879	-0.0161657135463376	-0.0335037971374516	-0.0778012187407632	-0.0172734726434503	0.0365717316232418	-0.0725281653602001	0.0235520710215791	0.0152006697282255	"S01"	0.658719714308367	"IS02"
"NFKBIA"	"NFKBIA"	0.378228113161508	0.642679261767553	-0.278201055246847	-0.0616673585360854	0.0946995210227135	0.279800572882193	-0.847380349937673	0.0671394669839694	0.349088034931999	0.316895523432231	-0.310950382986983	"S01"	0.642679261767553	"IS02"
"CDK5R1"	"CDK5R1"	-0.0654640223973884	0.616763111213647	0.233165091609104	0.279549078306341	-0.170059137014811	-0.0112299083895251	-0.0820160819008816	0.105291353064312	0.116859079158559	-0.181964621143596	0.164158073063176	"S01"	0.616763111213647	"IS02"
"ANKRD55"	"ANKRD55"	0.2379934481652	0.616122837855113	0.126868981323665	-0.0200589085050217	-0.104568266748441	-0.14586514248397	-0.0217100005346448	0.0869684528729468	0.223310642626088	-0.125903164271049	-0.104401830308755	"S01"	0.616122837855113	"IS02"
"TRAV2"	"TRAV2"	0.30087830491113	0.602676836691004	-0.0858103100264472	0.0234677587235266	-0.0830319594641506	-0.0861465280457063	-0.0886552755022345	0.0204921192771767	-0.0803078631984527	-0.0350112454411052	-0.084347218636397	"S01"	0.602676836691004	"IS02"
"TTC39C"	"TTC39C"	0.224512566310005	0.599587998113542	-0.237683328817843	-0.188716537847439	-0.0479055583851292	-0.18011905173597	-0.122211588925631	0.226994540671753	-0.176795276022619	0.189291166777486	0.231216637911292	"S01"	0.599587998113542	"IS02"
"GOLGA8B"	"GOLGA8B"	0.0398559620898543	0.598200812937848	-0.150354714803222	-0.0200625388361636	-0.101269876959214	0.294903656834586	-0.0643403097220295	0.0315217254796689	-0.0409639893120238	0.105607467987254	-0.0408083542637023	"S01"	0.598200812937848	"IS02"
"STK17A"	"STK17A"	0.249781220937417	0.594341285603921	-0.010340015016379	-0.158582948491602	-0.110040696251632	-0.267633962863391	0.000755028431745408	-0.0889655283944218	0.115666075824907	0.194528296831661	0.138825061510462	"S01"	0.594341285603921	"IS02"
"ZNF483"	"ZNF483"	0.0289341289410469	0.593102836361238	0.197882096170251	0.0115503233309629	-0.120896667539315	-0.048288242640836	0.0537755791834593	-0.0398977259238633	0.388270307309978	0.0180700388786516	-0.113701172424667	"S01"	0.593102836361238	"IS02"
"CALM1"	"CALM1"	0.15787750329151	0.568381951245343	0.00539962521549418	-0.00856095859548059	0.00714665912885733	-0.354118276347371	-0.404158879116436	0.226296402897172	0.282714417692722	0.020250815157272	0.412263711928796	"S01"	0.568381951245343	"IS02"
"PRKCQ"	"PRKCQ"	0.151584764416118	0.554360378647125	-0.222113212415728	0.320726391466736	-0.227781289778933	0.0474853533189972	-0.164647736768247	0.478524585989388	0.0746588960394628	-0.0795266759635235	0.000894268433570027	"S01"	0.554360378647125	"IS02"
"ZAP70"	"ZAP70"	0.389959301924348	0.537734330744302	-0.185373121517607	-0.107504581740353	-0.175277893189547	0.097491995861174	-0.126104509229423	-0.164565053961209	0.032295604802512	0.13795505761747	0.0821986503680869	"S01"	0.537734330744302	"IS02"
"SDR42E2"	"SDR42E2"	-0.0823763339699249	0.53432509535613	0.311761210831522	0.113516800638689	-0.162049851811086	-0.135057483706261	0.0448278942871502	0.136050043823922	-0.192049383696103	0.0286646347419033	0.0732499216977688	"S01"	0.53432509535613	"IS02"
"RASA3"	"RASA3"	0.153886616935184	0.519677998472741	0.247904817575337	0.187107967977151	-0.19931691137638	0.0743734454698034	-0.198000092718825	-0.087913419043897	0.403157800419767	-0.128888721018857	0.0204252774021436	"S01"	0.519677998472741	"IS02"
"CD69"	"CD69"	0.461672871678589	0.518961850094915	-0.0770105240617136	0.0456576916612197	-0.190783611856025	0.184104140342217	-0.564239877138681	-0.194181422753256	0.324068460875633	0.445198136734004	-0.270668242793436	"S01"	0.518961850094915	"IS02"
"TNFSF8"	"TNFSF8"	0.420930380375692	0.506651041297927	-0.101314539067101	0.119905334129541	-0.0585479218510561	-0.201073981254578	-0.266627837837027	0.029930254910752	0.113501023408757	-0.107073511308667	-0.0727363850977376	"S01"	0.506651041297927	"IS02"
"THEM4"	"THEM4"	0.359092374960213	0.482597699668897	0.038767859426228	-0.0494288451474023	-0.176230837044006	-0.105843375443472	-0.0651706878905446	0.0662270654082705	0.102686182902232	0.0939409208915509	-0.198997266269892	"S01"	0.482597699668897	"IS02"
"IPCEF1"	"IPCEF1"	0.345246163545348	0.479010493812146	0.396707758284781	-0.261679121619119	-0.247111326699933	-0.0565821137166847	-0.106589612260969	0.319552682539045	-0.108519533539141	0.058061125314189	-0.125927311254882	"S01"	0.479010493812146	"IS02"
"PASK"	"PASK"	0.265709746752936	0.478093669403461	0.107025776254943	0.0983038181482349	-0.20454422139339	-0.26050772752341	-0.0127074352157797	-0.152837793637117	-0.0216505465794926	0.00997105070640421	0.209364906741232	"S01"	0.478093669403461	"IS02"
"LBH"	"LBH"	0.345719445522854	0.471054826545761	0.179110410755179	-0.344357984047659	-0.171600753283205	-0.089334196617097	-0.213642876007547	0.267005430998599	0.092275952566142	0.0789084146199154	0.217216884973471	"S01"	0.471054826545761	"IS02"
"APBB1"	"APBB1"	0.213003731105499	0.455476272875599	0.146835705260009	-0.205557828947135	-0.131669356679703	0.108148826647544	-0.0725370931125406	0.129228428500244	0.0715137087533224	0.0991669459508895	-0.209233007753323	"S01"	0.455476272875599	"IS02"
"ACAP1"	"ACAP1"	0.0646775582239888	0.455363720128454	-0.0219183139298041	-0.417324144580355	-0.0717668863423161	0.0670662157206569	0.186980898164469	-0.257164768555037	-0.29312101580223	0.423893581018205	0.0640335086124083	"S01"	0.455363720128454	"IS02"
"LCK"	"LCK"	0.199705961227227	0.448701678903511	-0.191437440486949	0.0428407530664592	-0.132202874736357	-0.0623197590759358	-0.0677316142850147	-0.134838305812463	0.0832799710648354	0.34178635435469	-0.0817593351428941	"S01"	0.448701678903511	"IS02"
"CD27"	"CD27"	0.349757201469055	0.436567706889484	0.29143312305465	-0.0473601376527389	-0.307988008547432	-0.170136656224831	0.290532256399085	-0.347660323223407	-0.0713400843020093	0.124634127212655	-0.221224952049078	"S01"	0.436567706889484	"IS02"
"HPCAL4"	"HPCAL4"	-0.00736157527987723	0.436523040813009	0.0382272235234941	-0.00235649247323153	-0.0795930165216357	0.0507850277035088	0.0421679838686224	-0.117845781389548	0.357657973023561	-0.0834949062630151	0.172916995307047	"S01"	0.436523040813009	"IS02"
"RLN2"	"RLN2"	-0.00973955098487076	0.431434437582341	-0.00578325483168791	-0.0309879277793323	0.0456106425162669	-0.0152643433711028	-0.0635283274358677	-0.1255881538724	-0.121051893444379	0.19143679084678	-0.127140607607395	"S01"	0.431434437582341	"IS02"
"NSG1"	"NSG1"	0.0654527882333198	0.414629767603195	-0.0537233216927392	-0.0719737313277008	-0.0106841306743927	-0.0316250519549932	0.0187837204305592	-0.190062212932002	-0.0948233042592452	0.166817347403356	-0.0126503219206272	"S01"	0.414629767603195	"IS02"
"RPL4"	"RPL4"	0.267714771251323	0.407425780505935	0.344138519920948	-0.381580958044768	0.405897049263835	-1.12386664460099	-0.124413348025931	-0.757396299489202	0.287963672281372	0.279169400802929	0.0578488913652488	"S01"	0.407425780505935	"IS02"
"ATP6V0E2"	"ATP6V0E2"	0.359173066915206	0.402604420592095	-0.0704667086677892	-0.0368812054098076	-0.133594126273406	-0.168590502609652	-0.0338776780529915	0.00163977856708439	-0.0577322634227904	0.232007271184555	-0.28508862773499	"S01"	0.402604420592095	"IS02"
"ACSL6"	"ACSL6"	-0.0415802010371942	0.397577035583365	0.0484434259403009	-0.180418003456995	-0.0673933335148006	0.149720583047609	0.0053567583303505	-0.098545934928908	-0.185795953168651	0.143862914403888	0.233352592669537	"S01"	0.397577035583365	"IS02"
"CDC14A"	"CDC14A"	0.227981533567648	0.39568925387529	-0.0165126366393879	0.0748866726454924	-0.290612315374055	0.0789574333515104	-0.10975850477893	0.34532838904709	-0.169162336670594	0.130538463786009	-0.0397818556674167	"S01"	0.39568925387529	"IS02"
"EIF4A2"	"EIF4A2"	-0.204415203111765	0.384298525623618	-0.0838362272557702	0.157477141331369	-0.0405159508500864	0.359429148253611	-0.157190651479183	-0.320266726599084	0.00710287932073256	0.292649952764385	0.033848565321834	"S01"	0.384298525623618	"IS02"
"NLRP1"	"NLRP1"	0.120452165504879	0.373686538476805	0.172586831822937	0.0144469764120198	-0.14240343593654	0.0842298843898802	0.00163239459114363	-0.0122694736834952	-0.0504481458870734	0.0267593615577703	-0.204341944059869	"S01"	0.373686538476805	"IS02"
"ZNF831"	"ZNF831"	0.347036300039285	0.362120595543279	-0.103605505443273	0.118718401575848	-0.300237672662683	0.102658583953904	-0.0803522659041839	0.0345651129712183	-0.166490863932938	0.0918587036560511	-0.0030689402526873	"S01"	0.362120595543279	"IS02"
"MGAT4A"	"MGAT4A"	0.129286780868807	0.326062263642949	-0.121841182240544	0.0749583410613577	-0.125643159923609	0.0592005914574443	-0.198350207818784	-0.0523063545427555	0.169869797766002	0.0943103950254211	0.239120913249181	"S01"	0.326062263642949	"IS02"
"TNIK"	"TNIK"	0.127671323887964	0.321805503545795	-0.0823468585589637	0.131828260690077	-0.169344237223722	0.217949744272932	-0.15396268855053	-0.0613042956539932	-0.121919697987492	-0.0487749475363682	0.241838176543981	"S01"	0.321805503545795	"IS02"
"ICAM2"	"ICAM2"	0.256329624293407	0.272393601480921	0.0303360136966964	-0.0264341764426267	-0.0671229076727249	-0.257735603444206	-0.0712930088493444	-0.124858924426212	0.0406345210496582	0.0489542047499707	0.105842846711826	"S01"	0.272393601480921	"IS02"
"BACH2"	"BACH2"	0.0694229574870059	0.203267276110944	0.130908103215332	0.14991991070385	-0.110549216411803	0.0665957273849554	-0.13466951336154	-0.0543180267192444	0.140814981794417	-0.13529193573577	0.109200557709647	"S01"	0.203267276110944	"IS02"
"SELENOK"	"SELENOK"	1.00028929056854	0.413921466071609	-0.45406144742116	1.11382942593671	-0.609256899813643	0.201580754644057	-0.333545005126285	-0.303729635801186	-0.00487202228797362	-0.408020125722474	-0.436279531215212	"S02"	1.11382942593671	"IS04"
"TPT1"	"TPT1"	0.278747898427947	0.288421009662824	0.364604144933036	0.938851277969639	-0.409221772398929	-0.789151775971313	-0.434723143401563	0.010101201360176	0.344255882449665	0.12024416176382	0.161524035507951	"S02"	0.938851277969639	"IS04"
"CRYBG1"	"CRYBG1"	0.771336493204161	0.565940524867908	-0.30390975555684	0.881367918096623	-0.459544413730149	0.0404885268848709	-0.340752247101112	-0.0590289978579617	-0.0956472365925814	-0.333740684175375	-0.301992511223169	"S02"	0.881367918096623	"IS04"
"BICDL1"	"BICDL1"	-0.0605085499862057	-0.169574445604151	-0.182590350578971	0.808045729397633	-0.226251127584689	0.227739094013218	-0.111087291642749	-0.132398458317537	-0.0227224623206193	-0.0846397130257609	-0.101172406292994	"S02"	0.808045729397633	"IS04"
"BCL11B"	"BCL11B"	-0.249162486056787	-0.260959435747987	0.0334070663520502	0.719876425650717	-0.355150112369618	0.00252325822841577	-0.0114805450956852	0.032540208921924	0.318733013728157	0.130425074759948	0.238389162894723	"S02"	0.719876425650717	"IS04"
"DDX5"	"DDX5"	0.0194153937192233	-0.0544175981998336	0.015421141597826	0.717727328414484	-0.121878038415505	-0.271970242416201	-0.620764294192111	-0.0185999001702471	0.166836288435427	0.215216553287596	0.205032637355861	"S02"	0.717727328414484	"IS04"
"SYNE2"	"SYNE2"	-0.14637595514518	-0.105383894277509	-0.289876329214398	0.694471920173666	-0.285568615460961	0.221306929902696	-0.0459576627146873	0.0342822586215492	-0.39855339599185	0.110314757287077	0.184312460444253	"S02"	0.694471920173666	"IS04"
"PTPRC"	"PTPRC"	0.0171240096489234	0.295652010554725	-0.184141030024355	0.69361759376376	-0.511148639153479	0.265634091749701	-0.0767228689684838	0.100208533056181	0.0847676413033393	0.0410971932703799	0.306422051797902	"S02"	0.69361759376376	"IS04"
"FAM107B"	"FAM107B"	-0.184660552094175	0.459030153196766	0.171286834095974	0.67319335009526	-0.393746688957958	0.0855719386513114	-0.238169682380095	0.159008532956167	0.0196289017450188	-0.0416788533863124	0.521729790532253	"S02"	0.67319335009526	"IS04"
"TNRC6C"	"TNRC6C"	-0.209130634347164	0.0303891819485468	0.172416790078592	0.649895957357428	-0.179437711429898	0.0323531945675908	-0.170700332031807	0.096994467721863	-0.117268215792345	-0.0372349606120915	-0.00679123767369672	"S02"	0.649895957357428	"IS04"
"ARL4C"	"ARL4C"	-0.20647698061932	-0.0402393740690384	0.0971740150629288	0.645850765943735	-0.327548677661853	0.347536390534678	-0.347568795112578	0.140705404783628	0.236981850277267	-0.213148398907649	0.589417185123085	"S02"	0.645850765943735	"IS04"
"ANKRD12"	"ANKRD12"	0.0424298501092478	-0.269924949776171	-0.0469372999427689	0.61977850342388	-0.207648815507335	-0.178446625047054	-0.24780265892718	-0.165905374214352	-0.16389093661883	0.064564175861644	0.374552489669302	"S02"	0.61977850342388	"IS04"
"RASGRP1"	"RASGRP1"	-0.248811551645644	0.187715797208868	0.0122475750035843	0.618307331910824	-0.20804777874101	0.243956374612104	0.0412954550571178	-0.268606459852634	-0.317445324271111	0.0568224475270427	0.00291096945579968	"S02"	0.618307331910824	"IS04"
"SMAP2"	"SMAP2"	0.153498164315129	0.0116767943672137	0.112896210820721	0.617337539636387	-0.301772442781387	-0.0640704270999164	-0.441028250610226	0.496629468891286	0.0372644614145283	-0.170043892972093	0.115516419367714	"S02"	0.617337539636387	"IS04"
"IL7R"	"IL7R"	0.482148995737128	0.400825830577237	-0.0353092538588323	0.603931858333661	-0.514584800580434	-0.186505214771952	-0.604306896997877	0.519438957979303	-0.0249802274937689	0.317698758522993	0.00199977423035588	"S02"	0.603931858333661	"IS04"
"TRBC1"	"TRBC1"	-0.113772619072444	-0.372843114531477	-0.209993411687079	0.59575388376817	-0.0125051922916371	-0.00682149625387402	-0.156570091444475	-0.132636026527338	-0.131752053498365	-0.372446494274502	0.527185551992338	"S02"	0.59575388376817	"IS04"
"PIK3R1"	"PIK3R1"	0.107128712940661	0.14929979576797	-0.0688205894872094	0.591855499088822	-0.288806762810825	0.151344129884887	-0.344237577887712	0.13141001545009	0.328614051398738	-0.150102823546539	0.189239063243435	"S02"	0.591855499088822	"IS04"
"ZC3HAV1"	"ZC3HAV1"	-0.0732291589193379	-0.462376814625148	-0.194728646259824	0.562302990658364	-0.118435165551506	0.185394155648415	-0.326458452523588	-0.112000567567717	0.222156690363532	0.0545226913036521	0.172728924364661	"S02"	0.562302990658364	"IS04"
"CD3G"	"CD3G"	0.0783622395141879	-0.140541099859776	0.218635531428491	0.539520471272235	-0.430452167565256	-0.252839134397056	-0.0386967008848456	0.144214512842191	0.242814246156365	0.221878336120501	-0.00395229980109629	"S02"	0.539520471272235	"IS04"
"SMCHD1"	"SMCHD1"	0.0946469273983886	-0.0431019177922946	0.077728301706275	0.517000667118639	-0.195716956122941	-0.037842561556428	-0.259196498105755	0.152408675169113	0.158907790151205	-0.21314738732548	0.0910786923594747	"S02"	0.517000667118639	"IS04"
