"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"GRK3"	"GRK3"	-0.281456435192885	1.73344323984853	-0.0220164794381346	-0.312286412985496	-0.25175123816381	-0.27308943959673	-0.288327211291753	-0.290097641536527	-0.277675324392645	0.695524865483884	0.0957764659203438	-0.28633013969839	-0.265494565545949	-0.176682294391593	"S01"	1.73344323984853	"IS02"
"ARHGAP45"	"ARHGAP45"	-0.291548643697637	1.56212812940638	-0.032968592090052	-0.341416634475285	-0.27518004113301	-0.298563349223226	-0.315222507331584	-0.317158084130988	-0.18617175039893	1.12466063672048	0.289115864504782	-0.313039147973443	-0.293693551728414	-0.211323905950454	"S01"	1.56212812940638	"IS02"
"TMEM273"	"TMEM273"	-0.288682426260287	1.50589763208143	-0.288682426260287	-0.320303919599469	-0.268278393769589	-0.280100620029593	-0.213087163818476	-0.297545483206875	-0.258114696576371	1.18224077187959	0.324784992774396	-0.29368125615224	-0.252657846033034	-0.207282129912571	"S01"	1.50589763208143	"IS02"
"NIPSNAP2"	"NIPSNAP2"	-0.238144473846892	1.45599614518746	-0.0764554032552805	-0.286768137524946	-0.211274196365794	-0.250774118611824	-0.264766745979876	-0.266392506700806	-0.254985270897497	0.913162459072138	0.013112295102698	-0.262932863756639	-0.271149515749034	-0.1812483856697	"S01"	1.45599614518746	"IS02"
"SPART"	"SPART"	-0.225489926908518	1.45132629015654	0.117751759682458	-0.250189484530226	-0.212593661238517	-0.218786675571849	-0.191472229458077	-0.232412863260973	-0.222460675161636	0.31738735870353	0.0886929324064254	-0.229394514387454	-0.197553998301584	-0.179600330859942	"S01"	1.45132629015654	"IS02"
"AFDN"	"AFDN"	-0.245535184995317	1.43059230291111	0.0255197300839415	-0.272430446052405	-0.16703086847468	-0.238236038290253	-0.185419222448388	-0.253073545938155	-0.242236643467252	0.499514667308364	0.536849314206893	-0.249786876510387	-0.239458808165285	-0.176927216500159	"S01"	1.43059230291111	"IS02"
"NRARP"	"NRARP"	-0.00939047848166706	1.41005088932492	-0.0989020369712392	0.00200451846248892	-0.33651315992398	-0.260991959847884	-0.21211326777945	-0.299002602829693	-0.375587639723045	0.163483236161831	0.0553146214543552	0.139626749385636	-0.384666653481886	-0.267175252370563	"S01"	1.41005088932492	"IS02"
"MRC1"	"MRC1"	0.175019706450495	1.31978372598457	-0.555991655685389	-0.0135500166306149	-0.513984260164679	-0.0187283326433009	-0.280784467973441	0.092476921378363	-0.295705082858203	0.654332563195761	0.345080346821281	-0.201903667110735	-0.496798433278012	-0.262492019626217	"S01"	1.31978372598457	"IS02"
"NUFIP2"	"NUFIP2"	-0.231607706277353	1.29596987344974	-0.0644070156264853	-0.0752509578725333	-0.0827442557262663	-0.0410468090439262	-0.351005116764611	-0.177590241106362	-0.214105810236733	-0.0854341171251735	0.36529717919129	0.449491686724094	-0.45720876849012	-0.295647616238917	"S01"	1.29596987344974	"IS02"
"CYB5D1"	"CYB5D1"	0.0141090860781554	1.29412814122291	0.00588045503030169	-0.142540332346782	-0.178775265863123	-0.107062948037864	-0.2666266796231	-0.0423483557577577	-0.265929586226945	-0.219473045560038	-0.0865093141796583	0.000170667360709322	-0.283396554035488	-0.0678788740261926	"S01"	1.29412814122291	"IS02"
"BOD1L1"	"BOD1L1"	-0.323387228295379	1.2858905762501	0.284285138513492	-0.431435370019363	0.0155807204945572	0.00438453124149155	-0.370893574100498	-0.374828329888601	-0.172439261819617	-0.000427629019585542	-0.235476583672934	0.769916071768516	-0.32173172102724	-0.178818479617786	"S01"	1.2858905762501	"IS02"
"ARL5B"	"ARL5B"	0.211130872251076	1.27659710997348	-0.103439902196786	-0.0125395296425688	-0.487441797253047	-0.170376087296631	-0.399243973044105	0.10981396419059	-0.239133424171633	0.115349984451547	0.0685043306491944	0.0393660573670278	-0.542670642050624	-0.127059609756946	"S01"	1.27659710997348	"IS02"
"MCRIP1"	"MCRIP1"	-0.27247709336161	1.24385272769811	0.0275025042848114	-0.302323498300181	-0.230024017323837	-0.264377031131207	-0.218222828737603	-0.2808426181578	-0.205018807632559	1.09482819142601	-0.258924856206948	-0.277195311428477	-0.239376521916813	-0.124198947073362	"S01"	1.24385272769811	"IS02"
"ARIH1"	"ARIH1"	0.0691895203761436	1.23160664713695	-0.157125487381698	0.109014530772423	-0.386515930709307	-0.205284815152314	-0.330874323259128	-0.0175333331733886	-0.184471225892459	-0.136076451836627	0.322504709120483	0.0265955426121587	-0.328765806942424	-0.30307514745771	"S01"	1.23160664713695	"IS02"
"REV3L"	"REV3L"	0.0449601479215055	1.22020539236646	0.0908532871566433	0.114060081096739	-0.383802175826486	-0.0128821668939452	-0.389956335098528	-0.0315406798054546	-0.239965662936075	-0.111555624519771	-0.118317101962498	0.0449857471519578	-0.435599028015508	-0.27279015046349	"S01"	1.22020539236646	"IS02"
"TPT1"	"TPT1"	0.0379966073578594	1.18956529839721	-0.338537942264154	0.192647594107912	-0.702082449277156	-0.00990469554760152	-0.0571952673728903	-0.34910059850293	0.0445319063631338	-0.0743872103631423	-3.39902862791178	0.386149014952823	-0.0846713602143224	-0.262346567637089	"S01"	1.18956529839721	"IS02"
"SQOR"	"SQOR"	-0.202956178636462	1.18552867601794	-0.206704304106456	-0.251101168841552	-0.191349060590294	-0.219583928821803	-0.231836214300962	-0.233259770002811	-0.0976894393577344	0.92469101687934	-0.21505550974784	-0.230230422340436	-0.218584703657776	-0.104515451273126	"S01"	1.18552867601794	"IS02"
"PURB"	"PURB"	0.220602196729443	1.1820668240458	-0.0501876575416186	0.146139246686763	-0.280904247445283	-0.0449412837160639	-0.453428256088598	-0.382069700132159	-0.300100500791745	-0.0419192952791423	-0.247348531504618	0.213758400763505	-0.360129836544323	-0.172519667104106	"S01"	1.1820668240458	"IS02"
"KDM6B"	"KDM6B"	0.328703155748536	1.17412009521128	-0.310941787462141	0.160777409579719	-0.607648893031183	-0.238006956057701	-0.419468355633847	-0.0717758733901748	0.0182408211116637	-0.00339851258238517	0.0471625328937933	0.22377881398899	-0.626902022828424	0.0184062617959007	"S01"	1.17412009521128	"IS02"
"DDX3Y"	"DDX3Y"	-0.0289638561461952	1.17168775042377	-0.0962983330684744	0.0487453902428119	-0.194603366540367	-0.295574754973135	-0.290345418037357	-0.132209435660544	-0.122496297266089	0.178144153541104	-0.0667363953915125	-0.0236256061093557	-0.362424553700071	-0.292400812971107	"S01"	1.17168775042377	"IS02"
