"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"IS20"	"State"	"MaxFC"	"InitialState"
"SLC9A3"	"SLC9A3"	-0.245839049655467	-0.0369561709264321	-0.116397942173158	0.233997810460496	-0.263961547535859	0.197565616339716	-0.231044041475196	0.00332778782648705	-0.362480867604489	0.0215261248682464	2.81365981827974	-0.339324469799275	-0.0188787848116651	0.168750633509459	-0.135002602659168	-0.258030669394185	-0.100281846343834	-0.131301363196619	-0.156136512409858	-0.115917577246056	"S01"	2.81365981827974	"IS11"
"GUCA2B"	"GUCA2B"	-0.112438813182305	-0.14578416874504	-0.143706625623674	-0.123053903522242	-0.133399538459288	-0.0997090995614577	0.0014407272847387	-0.144117383638931	-0.113014198886574	-0.144767626140994	2.74837279032411	-0.147366794376511	-0.135360917765151	-0.144530496532245	-0.0731941722490561	0.0392865799306062	-0.11466251914443	-0.141365430678342	-0.050113368595836	-0.143414657672386	"S01"	2.74837279032411	"IS11"
"SLC51B"	"SLC51B"	-0.18595157291186	-0.216560866780414	-0.213474698076296	0.0465949569448021	-0.129137535176323	-0.035009306614122	0.113849135376257	-0.214084874836824	-0.0533960438093906	-0.118862798099507	2.68056025747154	-0.119360021002553	-0.155675061933141	-0.16881292461499	-0.153584999366272	-0.123289382621155	-0.124095835293701	-0.200561019050796	-0.150734184032645	-0.164230310694821	"S01"	2.68056025747154	"IS11"
"C2orf88"	"C2orf88"	-0.173976160957598	-0.159771447582072	-0.232734935889246	-0.106042453336137	-0.146506620011322	0.0171151460274301	-0.035020872682343	-0.0918537252771194	-0.177057687930428	-0.181181486468109	2.65053378013362	-0.238662631542375	-0.0201171556690809	-0.139044204885595	-0.130235779351925	-0.114884513284512	-0.105879391771612	-0.10633914512344	0.0948123207890172	-0.0600660672776053	"S01"	2.65053378013362	"IS11"
"TRPM6"	"TRPM6"	-0.144368899085332	-0.0171490621761222	-0.0458904072381487	-0.0795187373488855	-0.116384137374853	0.00923698692751719	-0.143284777189823	-0.107443729623059	-0.122147744106393	-0.0529649724194621	2.59564477198466	-0.143404430448436	-0.100076012537773	-0.140644394317774	-0.14041439530826	-0.142275729463134	-0.111228227500818	-0.146900603474767	-0.106795002766275	-0.139558557872412	"S01"	2.59564477198466	"IS11"
"SLC4A4"	"SLC4A4"	-0.0524414537126164	0.067332229638443	-0.200745979189609	-0.25681264936453	-0.143725153662574	0.543737394224582	-0.154191694716762	-0.247000849488896	-0.226377082890676	-0.248115291385688	2.55922706886457	-0.25256997093875	-0.065869562539625	-0.131141357643354	-0.145386637510766	-0.21509240670179	-0.158689001120891	-0.258727579297822	0.200081984538191	-0.157435182706623	"S01"	2.55922706886457	"IS11"
"PKIB"	"PKIB"	-0.0947478065093696	-0.382953340444907	-0.328593555804538	0.0113992134568862	-0.231112319705943	-0.193247834434128	0.940033809978531	-0.155077235777336	-0.244155643729842	0.182107682922578	2.54565936954307	-0.37185886883836	0.0261698968967071	-0.203996562469675	-0.238720531782411	0.161588669146135	-0.134213951330399	-0.205182765889066	-0.218603025606372	-0.102811260048002	"S01"	2.54565936954307	"IS11"
"SLC17A4"	"SLC17A4"	-0.031776782396434	0.0525586011755569	0.143766099819579	-0.129611357348652	-0.149615973295201	0.0131816781322731	-0.0134553786220465	-0.205555749492583	-0.183585434145239	-0.165630925729771	2.52960722358917	-0.210190409397635	-0.152179809293983	0.0051755215653895	-0.0836271248885954	-0.100124782188753	-0.0729477174339301	-0.189029755202248	-0.0163375436179898	-0.104256833797906	"S01"	2.52960722358917	"IS11"
"MEP1A"	"MEP1A"	-0.153497802665893	-0.166688443910295	0.143089655628849	0.557256132781299	-0.319427373017518	0.00369515151266379	0.158125512847953	-0.336559304088198	-0.0493994231462993	-0.237347709011769	2.51832624422681	-0.321155167212882	-0.202121661924202	-0.110356616568508	-0.0203714682911391	-0.360314547720405	-0.186912965540949	-0.298022858263041	-0.0172829423309458	-0.0138904910220099	"S01"	2.51832624422681	"IS11"
"C1QTNF12"	"C1QTNF12"	-0.162599176538434	-0.0572838808910829	-0.233357849895579	-0.0465391077884682	-0.0994425075893353	0.145521193777246	0.200973616026758	-0.209149135464306	-0.255631971161258	-0.206104582868852	2.46583832496031	-0.239301410999391	-0.0132400596762789	-0.126548232264919	-0.182970924808948	-0.12803207703544	-0.0639466925746316	-0.185009762576868	-0.181958551446128	-0.0937229147559535	"S01"	2.46583832496031	"IS11"
