"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"C12orf75"	"C12orf75"	-0.2558368590821	-0.518887748640709	0.460047845018067	-0.0923541838882234	0.200248492909151	-0.0318905803953224	"S01"	0.460047845018067	"IS03"
"ITM2C"	"ITM2C"	-0.306788844275269	0.0550885650890552	0.451407917156282	0.138654668960332	-0.150267179103414	-0.1090042828505	"S01"	0.451407917156282	"IS03"
"UBC"	"UBC"	-0.530588862116232	0.306908735973373	0.433093907630581	-0.0396812162915435	0.0572823730410413	-0.0940315432182515	"S01"	0.433093907630581	"IS03"
"RPL28"	"RPL28"	0.126291238850359	-0.80039721033246	0.428487472876813	0.229048631265154	-0.260140522119242	0.0287598876186376	"S01"	0.428487472876813	"IS03"
"RPS25"	"RPS25"	0.313664132086695	-1.65039769373425	0.417492530842036	0.155121173311046	-0.00575546316281535	0.157059929381199	"S01"	0.417492530842036	"IS03"
"TIMD4"	"TIMD4"	-0.114560959924366	-0.0682904469935893	0.415500444779101	-0.15642823446485	-0.0531376666705682	-0.152873162723759	"S01"	0.415500444779101	"IS03"
"EIF1"	"EIF1"	0.00247909025030287	-0.294418543998784	0.413076194790987	-0.115970915885974	-0.158585530660649	-0.0442960577837167	"S01"	0.413076194790987	"IS03"
"CXCR3"	"CXCR3"	-0.299957623699892	-0.194345392825042	0.41153994850087	0.0469341374374933	0.0613180722026268	-0.0759018645153978	"S01"	0.41153994850087	"IS03"
"HMGB2"	"HMGB2"	-0.219905831168308	-0.183064742107139	0.411337805870679	-0.265415586328472	0.0295135169751958	0.0547554254603205	"S01"	0.411337805870679	"IS03"
"CST7"	"CST7"	-0.246602040814013	-0.253671667482218	0.410371807848793	0.148825169986712	0.0745737402465635	-0.187898649317442	"S01"	0.410371807848793	"IS03"
"SH2D1A"	"SH2D1A"	-0.187122822238641	-0.323928878368466	0.406682465433028	-0.116315422629964	0.300516859589723	-0.304903165580073	"S01"	0.406682465433028	"IS03"
"HLA-A"	"HLA-A"	-0.191451886077196	-0.774223137771342	0.405407313403108	-0.01469973882033	0.36995401748077	-0.117851124417334	"S01"	0.405407313403108	"IS03"
"RPL31"	"RPL31"	0.335239978290148	-0.954527281079952	0.404660593448653	-0.494769799635205	0.022266485488467	0.0356801842858853	"S01"	0.404660593448653	"IS03"
"RPL23A"	"RPL23A"	0.27104889829129	-1.01056456568142	0.402898685239415	-0.197308612089919	-0.0527736529758483	0.0565937318406885	"S01"	0.402898685239415	"IS03"
"ANXA1"	"ANXA1"	-0.28768301590051	0.345989931325915	0.381566470636926	0.0797799562963167	-0.0698740307124658	-0.316688466883833	"S01"	0.381566470636926	"IS03"
"DUSP4"	"DUSP4"	-0.35038934196875	0.0376665157335844	0.371020729590517	-0.278665678170269	0.370844188712776	-0.27768101854662	"S01"	0.371020729590517	"IS03"
"B2M"	"B2M"	0.298777656471149	-2.08159662155612	0.368837502667002	0.0885449936291988	0.336503960538851	0.19128119840909	"S01"	0.368837502667002	"IS03"
"TMSB4X"	"TMSB4X"	0.352139945773189	-0.866864910974913	0.367773810191847	-0.776450654379953	0.0390964646921256	0.164173020997189	"S01"	0.367773810191847	"IS03"
"APOBEC3H"	"APOBEC3H"	-0.278124568385324	-0.119773259705958	0.364366700168819	-0.0919232144888751	0.19525926414561	-0.167491812562303	"S01"	0.364366700168819	"IS03"
"UBB"	"UBB"	-0.319980408429061	0.0311729723249396	0.356285378144803	-0.0474817437172494	0.144711427125998	-0.180429170296805	"S01"	0.356285378144803	"IS03"
"CXCR4"	"CXCR4"	-0.251594110687176	0.305154970309927	0.348073410041017	-0.245325048723845	-0.0751186009810092	-0.0686862563147169	"S01"	0.348073410041017	"IS03"
"RPS29"	"RPS29"	0.0973217359944354	-0.685643275684747	0.347922162809712	-0.579621321689787	0.00881551663756856	0.307782721601959	"S01"	0.347922162809712	"IS03"
"OASL"	"OASL"	-0.318492660954937	-0.0737878915583131	0.345579354759468	-0.133474963884405	0.211724620570168	-0.1141381710842	"S01"	0.345579354759468	"IS03"
"CYBA"	"CYBA"	-0.173809542890765	-0.402680691447699	0.339336791198112	0.108237459708102	-0.0432414153059244	0.0807763685466073	"S01"	0.339336791198112	"IS03"
"CDC42SE2"	"CDC42SE2"	-0.172322258432536	-0.295227389106666	0.337913881747882	-0.0303320940874754	-0.0949842459361822	0.156588088798906	"S01"	0.337913881747882	"IS03"
"RPS15A"	"RPS15A"	0.271050741027228	-0.923045054622274	0.334815642087957	0.0454221010085662	-0.147708559285024	0.0293130836658751	"S01"	0.334815642087957	"IS03"
"PSME1"	"PSME1"	-0.416935296919125	-0.384326193943351	0.332322960387038	0.176246331842648	0.225992209233587	0.0400141834270756	"S01"	0.332322960387038	"IS03"
"TRAC"	"TRAC"	-0.296272351070876	0.0905022736083227	0.331804669666386	-0.213355508482596	0.150921250057873	-0.121254545317106	"S01"	0.331804669666386	"IS03"
"RPL36AL"	"RPL36AL"	-0.148460391223864	-0.372424320991522	0.327865079002033	-0.0368538816333863	0.0842897715604648	-0.0165547107804366	"S01"	0.327865079002033	"IS03"
"ARHGDIB"	"ARHGDIB"	-0.416105911733724	-0.180926713482243	0.323855418294348	0.241812645010192	0.0162285962519121	0.107093636847379	"S01"	0.323855418294348	"IS03"
"ISG20"	"ISG20"	-0.145061605248988	-0.210061098802614	0.319592877881678	-0.0176235065755019	0.0219564949573126	-0.0683239995532265	"S01"	0.319592877881678	"IS03"
"SAMD3"	"SAMD3"	-0.22821997745712	-0.125500683198616	0.308943282100445	-0.0178131192226475	0.124847409637737	-0.126471555414297	"S01"	0.308943282100445	"IS03"
"CD6"	"CD6"	-0.244125940621743	0.00767783115613187	0.301984585651905	0.023703293080893	0.0892105662500993	-0.179045441114644	"S01"	0.301984585651905	"IS03"
"RPS15"	"RPS15"	0.295795471144855	-1.27834939929496	0.297464546175339	0.179972300141037	-0.0131256138994786	0.0526986562770585	"S01"	0.297464546175339	"IS03"
"RABAC1"	"RABAC1"	-0.17567373445517	-0.554823810790626	0.289815305541335	-0.136342045024131	0.218786228086441	0.108855688464836	"S01"	0.289815305541335	"IS03"
"CD99"	"CD99"	-0.315677464216295	-0.0568824343334691	0.286236719106729	0.227111805588118	0.00351972144849697	-0.0481393711774604	"S01"	0.286236719106729	"IS03"
"SRSF7"	"SRSF7"	-0.20748324902442	-0.0163506364360993	0.280224809451936	0.00754067317117517	-0.180098807421394	0.149320157869396	"S01"	0.280224809451936	"IS03"
"EEF1D"	"EEF1D"	0.0732941701544576	-1.26671959173016	0.271699284384607	0.214742962987389	0.0932824786198398	0.229693696018673	"S01"	0.271699284384607	"IS03"
"ARPC3"	"ARPC3"	-0.363422608536171	-0.258776809543424	0.263652922545774	0.174592143509631	0.054274434595115	0.168576934145877	"S01"	0.263652922545774	"IS03"
"GNG2"	"GNG2"	-0.153744578401022	-0.105680815022737	0.263401207205436	0.00873451906361962	-0.0291612500314019	-0.0183302843866937	"S01"	0.263401207205436	"IS03"
"RPS7"	"RPS7"	-0.021124706822438	-0.362594620045751	0.255207514995111	0.169772098611488	-0.167731134342245	0.057574634493764	"S01"	0.255207514995111	"IS03"
"UQCRB"	"UQCRB"	-0.120342725147969	-0.355648314871011	0.252134751437285	-0.136830461663071	0.0757737730001061	0.106341684015484	"S01"	0.252134751437285	"IS03"
"MT1F"	"MT1F"	-0.218529673626702	-0.215580156668145	0.244476770875957	0.0547708342495497	0.222767235446097	-0.157490024185959	"S01"	0.244476770875957	"IS03"
"CD52"	"CD52"	-0.161012012395302	-0.567995604245879	0.24427260834697	-0.0442345476347647	0.102197673468741	0.234009367103187	"S01"	0.24427260834697	"IS03"
"TERF2IP"	"TERF2IP"	-0.254017810502858	-0.23496119488782	0.24304345125471	0.0109164329979064	0.0825064410840174	0.104227413364655	"S01"	0.24304345125471	"IS03"
"DRAP1"	"DRAP1"	-0.247324007878692	-0.324910319717886	0.225489025950882	-0.0274573515650011	0.174015964665604	0.0997964412271793	"S01"	0.225489025950882	"IS03"
"ATP1A3"	"ATP1A3"	-0.104598805427382	0.0218860868170604	0.222370834686899	-0.138145264823832	0.0205528857728813	-0.0877625453423167	"S01"	0.222370834686899	"IS03"
"CPNE7"	"CPNE7"	-0.185250253254881	-0.208081941085755	0.220197714526883	-0.0365417138329814	0.191723513299478	-0.0790611473510242	"S01"	0.220197714526883	"IS03"
"IDH2"	"IDH2"	-0.260527870623774	-0.301108782282132	0.217779506836929	-0.110910131119149	0.195438383124817	0.140542791420522	"S01"	0.217779506836929	"IS03"
"CNBD2"	"CNBD2"	-0.0812887873661339	-0.0888735223896729	0.216879253957533	-0.00533033704530186	-0.0940623030031726	0.0167039983793337	"S01"	0.216879253957533	"IS03"
"GYG1"	"GYG1"	-0.15577510975591	-0.111323973821849	0.204837803149085	0.165052390827781	-0.045115924418532	-0.0229214468862388	"S01"	0.204837803149085	"IS03"
"GUK1"	"GUK1"	-0.180783356415135	-0.13551132758148	0.198125716245327	0.00553999299146344	-0.0765672642414753	0.18226343859371	"S01"	0.198125716245327	"IS03"
