"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"PLD5"	"PLD5"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"CCDC198"	"CCDC198"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"TRAJ22"	"TRAJ22"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"SLC47A2"	"SLC47A2"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"HS3ST4"	"HS3ST4"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"NEUROD1"	"NEUROD1"	-0.044276016289981	-0.0442957032692118	2.04311460666812	-0.0589822597113424	-0.0448137816700213	-0.0427558097220846	0.203940105173639	-0.0496863025698041	"S01"	2.04311460666812	"IS03"
"MAGEE1"	"MAGEE1"	-0.0698106288815879	0.154825290445084	1.85190473427994	-0.032000735176029	-0.0706585312566679	0.00770070563565505	0.00764642225834991	-0.0783411047299614	"S01"	1.85190473427994	"IS03"
"RELCH"	"RELCH"	-0.0496041022195134	-0.0496261582898645	1.71600452551398	-0.0660800651236857	-0.0502065811938395	-0.0479009570789293	0.295809014312618	-0.0556654513685313	"S01"	1.71600452551398	"IS03"
"COLGALT2"	"COLGALT2"	0.214764441573631	-0.113299396052556	1.24458021965554	-0.0776476299615546	-0.00672271052579256	0.00456862907295484	0.159681802886803	-0.103649030036948	"S01"	1.24458021965554	"IS03"
"ETFBKMT"	"ETFBKMT"	0.288744543818438	-0.0442971072107574	0.998664684412963	-0.0589841291397238	-0.0448152020319359	-0.0427571648570787	-0.0437331844236143	-0.049687877365084	"S01"	0.998664684412963	"IS03"
"PRKCQ"	"PRKCQ"	0.311129919533701	0.375522145617039	0.924728187556631	-0.191171515014395	0.0580136005841096	-0.0415580986635153	0.0277466761577537	-0.214992462896593	"S01"	0.924728187556631	"IS03"
"XCL1"	"XCL1"	-0.0161676699294549	0.255859406812793	0.751157047358892	-0.0942125906129637	0.0423737496418092	-0.105319214768083	0.0944979783534289	-0.0837191042778382	"S01"	0.751157047358892	"IS03"
"SLA2"	"SLA2"	0.10603991432764	0.117573485347494	0.723666783138396	-0.134344568438434	0.248785926218118	0.130866130864212	0.0701398270501364	-0.227210195531088	"S01"	0.723666783138396	"IS03"
"PZP"	"PZP"	0.0328249328137927	0.0381837953941399	0.671236040628008	-0.0088883995835049	-0.0586812991106714	0.0186391020293933	0.0506058515720103	-0.0650616099366696	"S01"	0.671236040628008	"IS03"
"CD8B2"	"CD8B2"	0.0853130815007924	0.264722946156609	0.621436674231186	-0.0832326761764161	-0.0632388619262109	-0.0603347596832476	0.0238948795815405	-0.0701147082603326	"S01"	0.621436674231186	"IS03"
"TRBC2"	"TRBC2"	-0.211834414664005	0.0327508010070343	0.595377106912399	-0.239865022964866	0.350926254792712	0.24859987930809	0.0700718351348354	0.0441868809899652	"S01"	0.595377106912399	"IS03"
"TPRG1"	"TPRG1"	0.140938811489118	-0.113102165338261	0.574789664581378	0.000394325420833449	-0.00889855511276814	0.040762001905839	-0.0593683085132078	-0.0310046250097448	"S01"	0.574789664581378	"IS03"
"KLF6"	"KLF6"	0.462021499371459	-1.25889737366196	0.512087561378661	0.300669081114446	0.0210158508956725	0.161657789438803	0.288290921295574	-0.215912947773368	"S01"	0.512087561378661	"IS03"
"PRKCH"	"PRKCH"	0.29613367462795	-0.435824222572365	0.46465961559004	-0.0206119181027132	0.0348185684615287	0.345799361279817	0.188533672925941	-0.175003804882566	"S01"	0.46465961559004	"IS03"
"ATF1"	"ATF1"	0.0546319183988874	0.0221499204649762	0.434945341123846	0.0267858941574456	-0.01180564588221	-0.102644961494922	0.00709001134848934	-0.0618950581892819	"S01"	0.434945341123846	"IS03"
"FCRL6"	"FCRL6"	0.011457628187537	0.0486929839786407	0.415417356061638	-0.0775715142022147	0.28253205368464	-0.0610812252276558	0.0520400464988021	-0.129434235123925	"S01"	0.415417356061638	"IS03"
"HERPUD2"	"HERPUD2"	0.0573588410163936	0.0373688983924191	0.389986905732198	0.0806446827974246	0.046621521118126	0.0819829953481081	0.00525009135641351	-0.252737579311683	"S01"	0.389986905732198	"IS03"
"EOMES"	"EOMES"	0.208600041559845	0.0319063983248913	0.373780825535956	-0.158401156860149	-0.0315590894499503	0.206457924167966	0.179596275242523	-0.0944660051720397	"S01"	0.373780825535956	"IS03"
"CD8A"	"CD8A"	0.294208637244143	-0.00100952244460253	0.367532277336972	-0.109793489629958	0.248185187248868	-0.0243072854551019	0.0268205022117097	-0.194594914653938	"S01"	0.367532277336972	"IS03"
"PMAIP1"	"PMAIP1"	-0.103565171508473	0.0607873470467001	0.358677928508064	0.228187266921363	-0.0737811509494482	-0.0199969680103193	0.0641515235180046	-0.291219981263197	"S01"	0.358677928508064	"IS03"
"STAG3"	"STAG3"	0.235077606831319	-0.156026408298149	0.336947946794852	-0.110536307488833	0.0607519132892198	0.191724097923165	-0.151325630463145	0.0507919358277108	"S01"	0.336947946794852	"IS03"
"ADGRE5"	"ADGRE5"	0.178939875908272	0.234855289189837	0.334971307353898	-0.0331754751248926	-0.0945482895082634	0.23912267793238	-0.00072551691716663	-0.245669678686935	"S01"	0.334971307353898	"IS03"
"FGF22"	"FGF22"	0.086948077274782	0.00989231935439233	0.305957226645101	-0.0243075828993202	-0.0540433711281133	-0.0120623388347731	-0.0698269028597467	0.0342488542399477	"S01"	0.305957226645101	"IS03"
