"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"C8G"	"C8G"	0.567127156513196	0.435753222133877	0.0145772056469618	-0.0936375847653716	-0.0254437211184366	-0.0779952844456184	-0.0812984542366624	-0.11725805598471	-0.00476372156510095	0.225088616661761	-0.172874388909291	"S01"	0.567127156513196	"IS01"
"KLHL34"	"KLHL34"	0.558858366795804	-0.0501291262268842	-0.0534903598238023	-0.0497153488746193	0.00737408199767318	-0.0529263138502648	0.11085268717728	-0.0517663473670832	-0.057280214133715	0.0137729369431771	-0.00624136868119066	"S01"	0.558858366795804	"IS01"
"TRIM58"	"TRIM58"	0.546627623156086	-0.109875553170927	-0.00623703770549677	-0.108968615051481	-0.0233683437331267	0.0750804303447357	0.0500775621138695	0.0586059165894627	-0.0584509991481757	0.0286072400510446	-0.0781723890550816	"S01"	0.546627623156086	"IS01"
"OR2C3"	"OR2C3"	0.54157464467978	-0.0508571611541415	-0.0542672105920968	-0.0504373744339257	-0.0561625727267472	0.0385142183076946	-0.0524280387187482	-0.0525181599713803	0.0713071343516884	0.0369496417176336	-0.0606500040959811	"S01"	0.54157464467978	"IS01"
"GPR85"	"GPR85"	0.530333978179631	0.0638632881937961	-0.0915721705203551	0.068730871433665	-0.0671731906254462	0.0232138051327426	-0.0159963743985879	0.0860430673856658	-0.014988417127792	0.0705414244134291	-0.0878710242467925	"S01"	0.530333978179631	"IS01"
"AKR1A1"	"AKR1A1"	0.520974188282517	0.439064726620119	0.110648635176408	-0.0530543429307031	-0.0029659062078994	0.139286101206458	-0.293494066204903	-0.299828170825191	0.166906152600625	0.16036325559002	-0.308400824011104	"S01"	0.520974188282517	"IS01"
"SLC10A7"	"SLC10A7"	0.514391221063715	0.0681074649063749	0.152912398021617	0.0828735696124633	-0.0194424506993427	0.159556729646241	-0.191142421523174	0.169763970820837	-0.0752872905992048	0.0139228276501187	-0.215584707198672	"S01"	0.514391221063715	"IS01"
"BST1"	"BST1"	0.51078500681284	0.237156059058128	0.305946434896433	0.16563441293503	-0.160715358443101	-0.00937740712659199	-0.230516959873607	0.131330682347957	-0.0268545774931498	-0.0441839547827215	-0.146502759619985	"S01"	0.51078500681284	"IS01"
"VWC2"	"VWC2"	0.505454915949773	-0.0907418929468972	-0.0724982834383666	0.0576986119360031	0.0897289253136273	-0.0524259361954793	0.00805112484474184	0.0250484380305257	-0.046869391994604	0.0283679817954577	-0.0634941273660077	"S01"	0.505454915949773	"IS01"
"BNIP3L"	"BNIP3L"	0.502269896970876	0.262746666228566	0.179467684927564	0.0641516674518283	-0.552505184750938	0.392787110795905	-0.30352464384293	0.292683493960249	0.0268279557392131	0.277057964455112	-0.244469255686733	"S01"	0.502269896970876	"IS01"
