"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"	"InitialState"
"SH3BP1"	"SH3BP1"	0.0430231614761043	-0.155371124085111	-0.0513078972003492	-0.253510527388668	0.473479069670897	-0.40851655435046	-0.00857138794050426	0.00426393445111148	0.303502089291631	0.216625980228879	0.22014252597801	0.238978009436443	0.239137464692443	"S01"	0.473479069670897	"IS05"
"CD58"	"CD58"	-0.189408721289096	-0.309716477514513	0.0676978594032099	-0.0896765574174468	0.469737410889629	-0.159526773083579	0.0409871706782221	-0.179153624452014	-0.00866781878871555	0.307197027258863	0.194230843902039	-0.0916216068607708	0.0587884183467111	"S01"	0.469737410889629	"IS05"
"CD53"	"CD53"	-0.284020430516199	-0.617956924317549	0.045414345172401	0.216596499082561	0.468238778377405	0.109782243513514	0.0670399626087546	0.399583318351692	0.0173221291837495	0.25528694218878	0.0413111221901822	0.260559025471423	0.00290758934728303	"S01"	0.468238778377405	"IS05"
"PMVK"	"PMVK"	-0.212366373640762	-0.266537837969469	0.0994359633129979	-0.143412540910865	0.45109103146569	0.0963014017468596	-0.263911097676025	0.031939627158237	-0.05701414609397	0.0845468174262707	0.330266118141344	0.235749608451246	0.399029128314603	"S01"	0.45109103146569	"IS05"
"IL22"	"IL22"	-0.0708946778787463	-0.191070331491095	-0.0501026131048934	0.110396020607893	0.448340279799183	0.203739249985863	-0.2910402852269	0.235748019779426	-0.173105664631244	0.239224010166044	0.0297347828558432	-0.296362202134031	0.301840473213781	"S01"	0.448340279799183	"IS05"
"DRAP1"	"DRAP1"	-0.609832906876711	-0.235063901307697	-0.0478820505947564	-0.312614339737416	0.425770165256989	0.0466522421410354	-0.0312237525333411	0.123293777265802	0.35322671850077	0.245005862820281	0.37376376453681	-0.0850084833272541	0.307834258033445	"S01"	0.425770165256989	"IS05"
"POLR1E"	"POLR1E"	0.155720576880195	-0.228488486802976	-0.114981306790037	0.0797421869850144	0.415840275992885	0.109227745930079	-0.0633220540627059	-0.0378234234090186	-0.0211442990059783	0.297747727049319	-0.0453606039978854	0.118707748579657	-0.211772228782268	"S01"	0.415840275992885	"IS05"
"CPNE7"	"CPNE7"	-0.254873196871997	-0.0322197223197798	0.0198491865196952	-0.18776201071875	0.415789527767842	0.107862831974173	0.102356171134062	-0.0583443167856967	0.112698355182051	0.00242312724751974	0.0771934601221292	-0.288935777661109	0.0909721784574849	"S01"	0.415789527767842	"IS05"
"CDC42EP3"	"CDC42EP3"	0.185910906301032	-0.218241214531197	-0.0420355351576654	0.0822460487935981	0.399971821357288	0.339132567983353	-0.207679557494263	-0.0891053437905594	0.0367519674754084	0.218260373656366	-0.0765133745099272	-0.303089816876552	-0.336248311505399	"S01"	0.399971821357288	"IS05"
"CD28"	"CD28"	0.00180243897021186	-0.189929360418124	0.148390277890129	0.0787799770695773	0.3983872068581	0.29882302918907	-0.265581103313521	0.308268565542397	-0.275969065273169	0.0461594827111536	-0.118046431188203	-0.161720537206457	-0.0748494890663057	"S01"	0.3983872068581	"IS05"
