"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"State"	"MaxFC"	"InitialState"
"ACTA2"	"ACTA2"	-0.301678529801549	-0.285050160805169	-0.282003326311712	-0.224285065959287	0.10991205800443	-0.095617707890723	2.97797102231092	-0.177164596189945	0.623256033456424	-0.213378071522974	-0.207245360664606	-0.247122018338008	-0.264497049238825	-0.165717248340318	-0.24840909634291	-0.133944165981362	-0.186530675134492	-0.0197592849239599	"S01"	2.97797102231092	"IS07"
"COX4I2"	"COX4I2"	-0.200871931005726	-0.180522765976246	-0.210775856807525	-0.228388633883223	0.0755792822567171	-0.213839721335724	2.91601403983077	-0.214850132390145	0.564024362695171	-0.212116670145996	-0.213839721335724	-0.177895453354359	-0.197989167120935	-0.203818707499698	0.0715290548153786	-0.206596905495356	-0.215219926077564	-0.210067664092506	"S01"	2.91601403983077	"IS07"
"TPM2"	"TPM2"	-0.375619464730208	-0.276158041234212	-0.255246806025068	-0.288048719852272	0.200075768649589	-0.11071498050323	2.86450786708156	-0.0388597331301058	0.262253218820536	-0.240015716398587	-0.221743121022442	-0.246431784532999	-0.329321450841233	0.0709762621732529	-0.0770862132293308	-0.119297952100762	-0.0139137076731403	-0.0838334266766131	"S01"	2.86450786708156	"IS07"
"KCNJ8"	"KCNJ8"	-0.178054688932524	-0.0526246811003317	-0.186833617969652	-0.202445742210951	-0.0290263968232929	-0.163846851850623	2.86094587145954	-0.190445092543807	0.37978174812899	-0.188022126989815	-0.189549455084217	-0.181703350590977	-0.193774552203664	-0.180666738158918	-0.0601878918228252	-0.183129357885991	-0.190772880999132	-0.186205869568242	"S01"	2.86094587145954	"IS07"
"SEMA5A"	"SEMA5A"	-0.164173918233337	-0.176737162300479	-0.0780682154703921	-0.18666349607352	0.134485598165286	-0.154774815639238	2.79928178448542	-0.142581575114629	-0.00892331286864376	-0.173364315691692	-0.174772576486109	-0.167538137869266	-0.17866829388156	-0.166582337571723	-0.117654650886361	-0.168852976621647	-0.163685504273318	-0.0845293347389881	"S01"	2.79928178448542	"IS07"
"EDNRA"	"EDNRA"	-0.192983067932135	-0.207750903221365	-0.202498035883277	-0.198686920922956	0.137688111139263	-0.205441572958964	2.7690559978315	-0.194484339894972	0.495400199081959	-0.203786191327827	-0.205441572958964	-0.196937638996318	-0.21002090871985	-0.195814115383462	-0.12993092675829	-0.198483204936397	-0.160287311982668	-0.0717585067079422	"S01"	2.7690559978315	"IS07"
"SYNPO2"	"SYNPO2"	-0.200712071205001	-0.139393499809516	-0.189708496476927	-0.208510119199669	-0.0409081277623292	-0.213669541385401	2.75344541370817	-0.20634959735352	0.225957820828065	-0.155985153328788	-0.174341206997097	-0.204825023483792	-0.158683782391632	-0.203656502567422	-0.0490688930026707	-0.206432489591265	-0.147816360552728	0.179971974937209	"S01"	2.75344541370817	"IS07"
"HEYL"	"HEYL"	-0.161750663864705	-0.145357754915768	-0.169725728201903	-0.183908289051651	-0.0803313419784113	-0.172192882865804	2.75037229505874	-0.111571336678348	0.375601520094332	-0.170805408406749	-0.172192882865804	-0.165065226648818	-0.143076873279334	-0.164123534239248	-0.168659611818725	-0.166360658002113	-0.12970850026721	-0.169155461160485	"S01"	2.75037229505874	"IS07"
"ECM2"	"ECM2"	-0.1373545232831	-0.147865440110212	-0.14412674377367	-0.156170211404073	-0.0261790659688184	-0.119298658484114	2.69123869662388	-0.146912698872388	0.0104038001624139	-0.145043580566124	-0.146221788360376	-0.140169165153656	-0.149481102698828	-0.139369504064759	-0.00467033216902295	-0.141269212298604	-0.147165560660465	-0.143642487599714	"S01"	2.69123869662388	"IS07"
"LZTS1"	"LZTS1"	-0.143301560268346	-0.13598154584958	-0.150366997500287	-0.162931910990037	-0.0975662858404658	-0.152552751204866	2.68996614108867	-0.153273576060215	0.0717746627079061	-0.151323530563266	-0.152552751204866	-0.146238067650894	-0.155953184033296	-0.145403783646366	-0.0597955812992478	-0.147385743522586	-0.153537386001799	0.059632961037066	"S01"	2.68996614108867	"IS07"
