"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"PAK2"	"PAK2"	-0.357144323684873	0.28920072353933	0.644954277576692	-0.0731832525536714	0.0739033782188018	0.177867927282215	-0.214922109533348	"S01"	0.644954277576692	"IS03"
"IRF1"	"IRF1"	-0.421742783192384	0.2466710038646	0.640065035482604	-0.084562672282273	-0.0253428894065528	-0.193777071927212	0.118068150889232	"S01"	0.640065035482604	"IS03"
"ZC3H12D"	"ZC3H12D"	-0.298722954475914	0.0482316663958226	0.63175154271163	-0.128469454893341	-0.032302215471884	-0.0381033813036743	0.0344897783065147	"S01"	0.63175154271163	"IS03"
"IKZF2"	"IKZF2"	-0.352218388513203	0.0850374833758185	0.629813222554648	-0.124125608878215	0.201962731143848	0.434625560086059	-0.284611212427689	"S01"	0.629813222554648	"IS03"
"PRDM1"	"PRDM1"	-0.10878211853156	0.327072358052297	0.628130954135431	0.175314369711585	0.137484826293894	-0.066828513441943	-0.568613083951622	"S01"	0.628130954135431	"IS03"
"ETS1"	"ETS1"	-0.339493781361934	0.0761269275088397	0.617984118428051	-0.100457628536841	-0.143874938248722	0.404219499247043	-0.127262135206518	"S01"	0.617984118428051	"IS03"
"MALT1"	"MALT1"	-0.37278238369382	0.226328327375929	0.615538221820298	-0.103077054994182	0.219687027491304	-0.0379070693243052	-0.0895238829244087	"S01"	0.615538221820298	"IS03"
"JAK1"	"JAK1"	-0.502701806226532	0.441627854195705	0.60846635567934	0.058141357696845	0.103678973753884	0.0786328693065783	-0.173791842602611	"S01"	0.60846635567934	"IS03"
"ARID5B"	"ARID5B"	-0.307794036173721	0.156875536339729	0.604638595643539	-0.196132803940787	0.083346489983069	-0.388253388560053	0.199731784160785	"S01"	0.604638595643539	"IS03"
"ZBTB38"	"ZBTB38"	-0.327144270879627	0.298466705443657	0.603510680956181	0.070002130040261	-0.0120921916047401	0.118702827471951	-0.266581170668343	"S01"	0.603510680956181	"IS03"
"HELB"	"HELB"	-0.181620474149104	0.110748184212583	0.597568467290352	-0.0393363979300615	-0.0710514733599959	-0.00405804627085488	-0.156683146099987	"S01"	0.597568467290352	"IS03"
"GPRIN3"	"GPRIN3"	-0.324024905010186	0.394675475864529	0.593501782707376	0.109350311059038	-0.233754593507624	0.295275981866362	-0.320002168536448	"S01"	0.593501782707376	"IS03"
"FAM107B"	"FAM107B"	-0.262430893000927	-0.225342401716046	0.587768078267468	-0.0488467558840071	-0.0617446195662081	0.269409474552835	-0.0788659011791098	"S01"	0.587768078267468	"IS03"
"STAM"	"STAM"	-0.364523969645702	0.434769238869044	0.58632780538112	-0.182583619075953	0.0795687913689496	0.0288006946753267	-0.0661247346837864	"S01"	0.58632780538112	"IS03"
"RNF213"	"RNF213"	-0.403064433426838	0.0623929675701296	0.569291585058944	0.383640519427157	-0.0493201122831966	0.020913733908984	-0.260829914366204	"S01"	0.569291585058944	"IS03"
"RAB11FIP1"	"RAB11FIP1"	-0.412445533596459	-0.0293633659651255	0.569099369761847	-0.165898479693564	0.120482441328447	0.160072842196928	0.0711161635915455	"S01"	0.569099369761847	"IS03"
"NABP1"	"NABP1"	-0.199437696051498	0.0480343317086513	0.557345447975468	0.128471916020341	-0.142661665723614	0.0606478887150945	-0.224307868867559	"S01"	0.557345447975468	"IS03"
"ZNF831"	"ZNF831"	-0.095896870143423	0.26312520364845	0.536370586566466	0.000916898097864554	-0.164691253773628	-0.0367286676878671	-0.235398941559936	"S01"	0.536370586566466	"IS03"
"DDX5"	"DDX5"	-0.478218858220102	0.110038190730593	0.535658176455603	-0.0148261656497081	0.139159826164166	-0.330819322281576	0.228909179288231	"S01"	0.535658176455603	"IS03"
"IL1R1"	"IL1R1"	-0.378889387329432	0.0411468345947685	0.534750277833875	0.22376784833428	0.195722682256611	0.0255477981263155	-0.245643588160438	"S01"	0.534750277833875	"IS03"
"RUNX3"	"RUNX3"	-0.424892868075902	-0.178361253762553	0.530404444026561	-0.0975824230149792	0.152532079852041	0.321672425814665	0.0110076777254615	"S01"	0.530404444026561	"IS03"
"FAM184A"	"FAM184A"	-0.125397928225642	0.0496181795249908	0.525097384435172	-0.00733100328720249	0.0527519904380201	-0.0705686976568166	-0.194404937222978	"S01"	0.525097384435172	"IS03"
"TLK1"	"TLK1"	-0.306216408820529	0.136988353277219	0.508423912939312	0.0916062958294159	-0.153722891944772	-0.0243825192533392	-0.0435927983363366	"S01"	0.508423912939312	"IS03"
"GK"	"GK"	-0.363000662206316	0.256413425557067	0.506668743834591	-0.0669270819424685	0.106558258109556	-0.203796514926143	0.0655910552733631	"S01"	0.506668743834591	"IS03"
"APOLD1"	"APOLD1"	-0.128223239490894	-0.207302785802117	0.503839785027184	0.104741460668653	0.125295995901802	-0.0857226426941954	-0.194947256367444	"S01"	0.503839785027184	"IS03"
"APBB1IP"	"APBB1IP"	-0.39223751584607	0.498296153168753	0.500097249480675	0.00505782490193729	-0.0287056625292832	0.106189576079018	-0.150097509015774	"S01"	0.500097249480675	"IS03"
"PTPN22"	"PTPN22"	-0.288456661730079	-0.055375539188331	0.49800393400216	-0.00699219683542952	0.000903306401540037	-0.0256110079843688	0.0262473036711445	"S01"	0.49800393400216	"IS03"
"UBE2B"	"UBE2B"	-0.35711680623546	0.103337311782585	0.488710183218888	-0.271289125348487	-0.104221563585139	-0.292066048461417	0.438154851647577	"S01"	0.488710183218888	"IS03"
"RSBN1"	"RSBN1"	-0.236938945976575	0.358314845348045	0.487571913180108	-0.118791040011094	-0.132129311082158	-0.128659825013515	0.0263279748706888	"S01"	0.487571913180108	"IS03"
"CYTIP"	"CYTIP"	-0.399198491924499	0.314120656282361	0.486262646103719	0.000228264720997626	0.13345382829108	-0.404415545086695	0.129803151149617	"S01"	0.486262646103719	"IS03"
"EPB41"	"EPB41"	-0.137595047328174	0.280696798325193	0.485908464967619	0.10557488727567	-0.213006537355875	-0.0399149006918296	-0.229242426327026	"S01"	0.485908464967619	"IS03"
"ELF1"	"ELF1"	-0.208082620875169	0.188959740956615	0.469334391681647	-0.280759077284345	-0.180396097373601	-0.129220245385328	0.226552044227732	"S01"	0.469334391681647	"IS03"
"CCR6"	"CCR6"	-0.386907115546455	0.282858616055537	0.464427550675107	-0.187105108299456	-0.215253541216415	0.0941630200016296	0.197115020943848	"S01"	0.464427550675107	"IS03"
"TIFA"	"TIFA"	-0.190569301918572	0.120647927203444	0.462751652594337	-0.0123329035089971	-0.165280330344796	-0.106024025991261	0.00585849472428538	"S01"	0.462751652594337	"IS03"
"HLA-E"	"HLA-E"	-0.205004773573021	0.415105162719051	0.458099247278957	0.131172304773038	0.255336717097817	-1.64480687467496	0.397051848645993	"S01"	0.458099247278957	"IS03"
"RNF19A"	"RNF19A"	-0.216975859011896	0.199351618548349	0.455723740324299	-0.186350377851942	0.00455226743600764	0.017194050970463	0.00114598766610815	"S01"	0.455723740324299	"IS03"
"EED"	"EED"	-0.232267536407132	-0.102793451891184	0.455405434214372	-0.0835561332049947	0.213526970166182	-0.0767601235139096	0.00216345011311985	"S01"	0.455405434214372	"IS03"
"SAMD9"	"SAMD9"	-0.21849766317868	-0.156727668161669	0.452997408238459	0.126899937175727	0.215033290578909	0.0180372559307163	-0.207415326018971	"S01"	0.452997408238459	"IS03"
"TULP4"	"TULP4"	-0.135418519509474	-0.0978350779992981	0.452215159670419	-0.0368245704034974	0.0163685191502716	0.0950720172422669	-0.128605384049846	"S01"	0.452215159670419	"IS03"
"GPR155"	"GPR155"	-0.114488743692081	-0.03816937425588	0.442417801325443	0.131064508479039	-0.128485634037895	-0.00883522980428113	-0.178710069752489	"S01"	0.442417801325443	"IS03"
"ATP2B4"	"ATP2B4"	-0.26480886925083	0.227190374121065	0.442098935272014	0.0717701809169127	-0.133700262791227	0.213021430623282	-0.196735608931304	"S01"	0.442098935272014	"IS03"
"DIAPH1"	"DIAPH1"	-0.329488284398698	0.154389453206773	0.440149210129555	0.00123717763335363	0.101684821321957	0.40479467648735	-0.256769843896775	"S01"	0.440149210129555	"IS03"
"DUSP16"	"DUSP16"	-0.467812645781276	-0.156984630212074	0.438996297538443	-0.00992236242412548	0.0112267310131682	0.399252163797958	0.0569991999824193	"S01"	0.438996297538443	"IS03"
"NCK2"	"NCK2"	-0.196864998297421	-0.0646557504492403	0.434582349061975	-0.076680137480259	0.226006779594535	0.104757084310769	-0.141119211788123	"S01"	0.434582349061975	"IS03"
"ITK"	"ITK"	-0.264789990479283	0.388573520681307	0.433549882426195	-0.140599104253737	0.0190507467293361	0.231816172288397	-0.165958120989016	"S01"	0.433549882426195	"IS03"
"DGKE"	"DGKE"	-0.1884145712533	0.210523595126789	0.431517272357328	-0.0914169510476541	0.0307006450281585	0.0643478360146751	-0.129708273162901	"S01"	0.431517272357328	"IS03"
