"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"STK4"	"STK4"	0.185133081834969	-0.00802137358358452	-0.042271713413692	-0.320335971432408	-0.121576115099591	0.296749922104419	0.240010255381494	0.0410662318214516	-0.00325920834445083	"S01"	0.296749922104419	"IS06"
"CD5"	"CD5"	0.0669047802168556	-0.0570555700223804	0.145474006022201	0.0904713357085781	-0.238133810969419	0.29055064041794	-0.193971548237172	-0.12690581047733	-0.194864540989022	"S01"	0.29055064041794	"IS06"
"TGM1"	"TGM1"	-0.10269932338382	-0.102043994975719	-0.0483652294292686	-0.115882259304724	0.0264830760284221	0.289685292968938	-0.104229294681903	-0.101122188336372	0.203484027892702	"S01"	0.289685292968938	"IS06"
"GMFG"	"GMFG"	-0.0954117744555897	-0.777427552837684	0.172024091184472	-0.0597535610995983	-0.0271317710883545	0.279447129726823	0.062205036850195	0.0570129440331329	0.09506871295378	"S01"	0.279447129726823	"IS06"
"GATA3"	"GATA3"	-0.081776809857373	0.109509704121404	-0.0316767514871615	-0.0467709330795477	-0.228346170766709	0.279012853727429	-0.0858292533800932	0.226942701519862	0.0803258503096466	"S01"	0.279012853727429	"IS06"
"ICOS"	"ICOS"	-0.164350639078977	0.206730744755583	0.0443677245533658	0.218328480491808	-0.334423715664858	0.263603871776694	-0.396580311501588	0.196780416798885	0.00116514170354226	"S01"	0.263603871776694	"IS06"
"CD247"	"CD247"	0.200184909457212	-0.341848035786769	0.179286294255429	-0.0343709718292755	-0.394765716846554	0.26149504091671	0.161997287040815	0.10117499914913	0.0261921010652718	"S01"	0.26149504091671	"IS06"
"ZNF831"	"ZNF831"	0.237569577314205	-0.00505625929126205	-0.000476325069308016	-0.0724951511099016	-0.143208004090069	0.245859923209161	-0.218007589223509	0.0617725381225418	-0.00356808091257332	"S01"	0.245859923209161	"IS06"
"DUSP1"	"DUSP1"	0.213874664286652	-0.0437016071990127	-0.084219555433667	-0.0108260404991804	-0.0666807159610795	0.232452982437507	-0.157031898263543	0.110665555918309	-0.280481821864001	"S01"	0.232452982437507	"IS06"
"LBH"	"LBH"	0.0752091942964986	0.139781861449218	0.0088439193587497	-0.07575560417989	-0.07275504375727	0.226840849986832	-0.119819220361989	-0.27286417911144	0.0742792581754881	"S01"	0.226840849986832	"IS06"
"LINS1"	"LINS1"	0.0224800050852282	0.142681748979963	-0.0528736980229447	-0.0316333905627698	-0.115197609395999	0.218386771377518	0.0493469380127994	-0.238151649245309	0.00108978723679949	"S01"	0.218386771377518	"IS06"
"CAMK4"	"CAMK4"	-0.143871028444551	0.00156282200979144	0.00347979859684017	0.088961800179848	-0.2167598754194	0.215148823887442	0.210119902288449	-0.112673036920199	-0.167979165386823	"S01"	0.215148823887442	"IS06"
"FBXO47"	"FBXO47"	-0.0314747097218503	-0.0312738683653754	-0.0339006260838111	-0.0355149416116117	-0.0361511418301547	0.194928599981914	-0.0319436067009468	-0.0309913582627072	-0.0306316371400151	"S01"	0.194928599981914	"IS06"
"SATL1"	"SATL1"	-0.0314747097218503	-0.0312738683653754	-0.0339006260838111	-0.0355149416116117	-0.0361511418301547	0.194928599981914	-0.0319436067009468	-0.0309913582627072	-0.0306316371400151	"S01"	0.194928599981914	"IS06"
"PTCHD1"	"PTCHD1"	-0.054120808423546	-0.0537754614235781	0.0906194663039104	-0.0610679929416823	-0.0621619401282035	0.194041225731343	-0.05492707745034	-0.0532896848976198	-0.052671143912201	"S01"	0.194041225731343	"IS06"
"FAM78A"	"FAM78A"	-0.0112699221266833	0.0244450580447448	-0.0337632599240599	-0.076404190052257	-0.0465587735628092	0.171303262090292	0.00137441424100066	0.0915079040396265	-0.113003109021121	"S01"	0.171303262090292	"IS06"
"SSTR3"	"SSTR3"	-0.0703564363512599	-0.0699074891730842	-0.0757791656352503	-0.079387697332167	0.00309468663362134	-0.0766119037191542	-0.0714045769300497	-0.0692759852058476	1.06103622179375	"S02"	1.06103622179375	"IS09"
"RTP4"	"RTP4"	0.0381989834259704	-0.11532589769238	0.0212648353119937	-0.269656266652091	-0.197174904772534	0.0805714228665716	0.340171841699444	-0.20436583239618	1.01166891556762	"S02"	1.01166891556762	"IS09"
"RTKN2"	"RTKN2"	-0.157849988809963	-0.073231441315379	-0.236460284238968	-0.133284620663282	0.0510651773487811	0.150263817501878	-0.133890879234349	0.0357529794786419	0.980036664780143	"S02"	0.980036664780143	"IS09"
"GBP4"	"GBP4"	0.0101259390975985	0.10072732130699	-0.21003863123505	-0.178364387964582	-0.259831718958244	0.21756251821446	0.0556758910608236	0.176984846808832	0.934288191536755	"S02"	0.934288191536755	"IS09"
"NT5C3A"	"NT5C3A"	0.0373803082160807	-0.182333415958236	-0.0465569387990182	0.0657470537772026	-0.306372487912924	-0.0120617619329544	0.198871098616661	-0.0658243364854836	0.913949791696665	"S02"	0.913949791696665	"IS09"
"HERC5"	"HERC5"	0.0272264751645699	-0.00678278235251231	-0.0625031629841167	-0.267630758939796	-0.381815812146279	0.0949251007487486	0.357258290785202	0.440824172823597	0.864832238831655	"S02"	0.864832238831655	"IS09"
"IFIH1"	"IFIH1"	-0.0771753515957492	0.0371868720757418	-0.208300508857225	-0.033848305795366	-0.0549401675516861	-0.114234928316353	0.0394333092657	0.238047201941192	0.860599935667691	"S02"	0.860599935667691	"IS09"
"TNFSF10"	"TNFSF10"	-0.109016325489929	-0.104695210967278	0.0884337386259036	-0.038665176442085	-0.400261268347056	0.126823909153284	0.174175463901336	0.0364290882894662	0.858581553179593	"S02"	0.858581553179593	"IS09"
