"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"VNN2"	"VNN2"	0.71616817466482	-0.265557594881241	1.07708753088715	-0.0677315678591038	-0.233078219327887	-0.150072758897494	-0.103114477010984	0.268173509910389	-0.296802745449853	"S01"	1.07708753088715	"IS03"
"KCNJ2"	"KCNJ2"	0.0106461250434582	-0.0759203202213598	1.07171992700689	-0.154728735219619	0.291243468870753	-0.190127255211149	-0.029084639316725	0.201636391614109	-0.148243293191492	"S01"	1.07171992700689	"IS03"
"EGR3"	"EGR3"	-0.084579912518894	-0.20593375906651	1.02412583168426	-0.178931712253589	0.00340641680472016	0.29345101938198	-0.20700401418148	0.114475467672305	0.184529145465917	"S01"	1.02412583168426	"IS03"
"OSM"	"OSM"	0.0804928776492766	-0.156851826397431	1.0219078752387	-0.280465036231314	0.00565247672526271	0.639838457709525	-0.164500644014908	0.104735125335806	-0.286508907110083	"S01"	1.0219078752387	"IS03"
"CSF3R"	"CSF3R"	0.792873574302621	-0.258226626901488	0.9884867342363	-0.154625698347621	-0.0697581724499604	0.14946002251884	0.0264474514782125	-0.068802681269369	-0.544023056573372	"S01"	0.9884867342363	"IS03"
"IL1R2"	"IL1R2"	-0.0485445579430726	-0.0205458140368319	0.987618310998452	-0.147985330063216	0.147732519927995	0.205011072723545	-0.118647312273469	0.173478628768026	-0.282783812415994	"S01"	0.987618310998452	"IS03"
"AQP9"	"AQP9"	-0.529246932022239	-0.5418118397017	0.955195383118791	-0.451302622672029	-0.412105985653466	0.392176153391761	0.304753960515888	0.393564187734524	0.569216475145939	"S01"	0.955195383118791	"IS03"
"G0S2"	"G0S2"	-0.865679064572977	-0.790954363112119	0.944128241924429	-0.325179356239848	-0.634974677774899	0.233542268150864	0.703610454920841	0.330652594257249	0.841388918027165	"S01"	0.944128241924429	"IS03"
"NBN"	"NBN"	-0.11250439718106	-0.123196756536684	0.898260759561977	-0.410242697561408	-0.0249929581960492	-0.119383049360343	0.0208929079368056	0.246672481115615	0.376601554931619	"S01"	0.898260759561977	"IS03"
"FPR2"	"FPR2"	0.0775346275975332	-0.0365321870022003	0.894279476608408	-0.0730312703475361	-0.284861730726464	0.738027171409408	-0.336671511016736	0.112614317969266	-0.310004870162862	"S01"	0.894279476608408	"IS03"
"GPR42"	"GPR42"	-0.0208632075636798	-0.0191170262117477	0.890391175575743	-0.113422201216855	-0.0754503326703217	0.0564302560408604	0.0385138751316215	-0.0561384312628809	-0.0735751859119251	"S01"	0.890391175575743	"IS03"
"TRIB1"	"TRIB1"	0.301698378015342	-0.223304939904037	0.882068812370185	-0.253983957438843	-0.0478164149600364	-0.0997732783537372	-0.116371890141457	0.720122589475551	-0.232881771002342	"S01"	0.882068812370185	"IS03"
"PLEK"	"PLEK"	-0.189447259286676	-0.49892052323525	0.877557262411949	-0.365238722680665	-0.0494116673973726	0.167233841718225	0.270578461224627	0.638108213334705	-0.0331582110160243	"S01"	0.877557262411949	"IS03"
"BCL2A1"	"BCL2A1"	-0.51496110094971	-0.619142740136293	0.830155485118766	-0.549851398288651	-0.738390247710566	0.307246101113294	0.767517779529791	0.256528471528409	0.556933247727039	"S01"	0.830155485118766	"IS03"
"PDE4B"	"PDE4B"	-0.217865003524991	-0.536791090920327	0.822900961039245	-0.334228506130998	-0.0640806175678125	0.299075792325049	0.29506971782941	0.58687930918907	-0.0858445070261959	"S01"	0.822900961039245	"IS03"
"N4BP1"	"N4BP1"	-0.0233581460105174	-0.246924247303582	0.817289346441032	-0.288155400581881	0.0810906893717075	0.310391371921867	-0.0424797868269838	0.292771277177226	-0.0782615254133986	"S01"	0.817289346441032	"IS03"
"KCNJ15"	"KCNJ15"	-0.0296169356962407	-0.098253491373482	0.766220984390659	-0.156702950522081	-0.102435774431511	0.429063161001974	-0.143888801834101	0.100024499810214	-0.0924376531531226	"S01"	0.766220984390659	"IS03"
"NAMPT"	"NAMPT"	-0.13187084302706	-0.793684379379121	0.765670913300856	-0.284302626110999	-0.0745083741990463	0.665305610341519	0.211978629747518	0.00619622930227203	0.366720889723998	"S01"	0.765670913300856	"IS03"
"CPD"	"CPD"	0.121054920603103	-0.227756079987825	0.715933018727279	-0.225158313473695	0.0500945448824711	0.132405564772224	-0.157983814613095	0.0753738920706267	0.24290623976348	"S01"	0.715933018727279	"IS03"
"POTEI"	"POTEI"	-0.0223713646532438	-0.0237642585551331	0.714285714285714	-0.0231160425335183	-0.021551724137931	-0.0224921277552856	-0.0242600679281902	-0.022075055187638	-0.022737608003638	"S01"	0.714285714285714	"IS03"
"ERICH6"	"ERICH6"	-0.0223713646532438	-0.0237642585551331	0.714285714285714	-0.0231160425335183	-0.021551724137931	-0.0224921277552856	-0.0242600679281902	-0.022075055187638	-0.022737608003638	"S01"	0.714285714285714	"IS03"
"GBP2"	"GBP2"	-0.0698905400857465	-0.105420329228296	0.712214043902191	-0.390980201262701	0.0850937977832063	-0.0812164561418455	0.0723254149006357	0.431891927750318	0.0184782081327573	"S01"	0.712214043902191	"IS03"
"PELI1"	"PELI1"	0.200162693147133	-0.456606667267498	0.711263701946697	-0.339972769509086	-0.0214353429512441	0.0690113133372561	0.155595877665974	0.55661796051579	-0.123705774165033	"S01"	0.711263701946697	"IS03"
