"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"	"InitialState"
"PKIA"	"PKIA"	-0.12368141832866	0.181788092348362	-0.011939265830459	0.0301559466311381	0.13839606609849	0.0222745000833117	-0.102581402104981	-0.105655642961382	1.15719315523127	0.215755769154996	-0.050276139896916	-0.138314136842677	-0.0175897783275139	"S01"	1.15719315523127	"IS09"
"TMCC2"	"TMCC2"	0.0099057876676995	-0.0235291992196751	-0.0762045117087702	-0.0380728784756892	0.0513979986958641	0.0372029494396832	0.0207377074275852	-0.0485404248710419	1.0362157794508	0.0381269468375993	0.0794004427128344	-0.115602135486989	0.0453677085511415	"S01"	1.0362157794508	"IS09"
"TRAV23DV6"	"TRAV23DV6"	-0.026923136836997	-0.08562232003293	-0.0370017836105957	-0.0947240673764979	-0.0382841424765031	0.103073325625953	-0.0840150751176361	-0.0907099659492119	0.95217425414697	-0.0811753240213269	-0.0814102257444147	-0.0824670586581822	0.42252750650504	"S01"	0.95217425414697	"IS09"
"ZNF862"	"ZNF862"	-0.112536869655655	-0.0351399925959236	-0.0783851972608659	-0.156878508587931	-0.135616011277739	-0.0729701823339974	-0.155168459875881	-0.141003590414352	0.880691391171391	-0.0407684978344892	0.0162546105901431	-0.0147879820023988	0.746370834035362	"S01"	0.880691391171391	"IS09"
"NLRP1"	"NLRP1"	0.0161584923018188	-2.25448636995274e-05	0.212093136191554	-0.0984444785292679	-0.149987182731563	0.0458183769903319	-0.103342991422387	-0.186322115863157	0.875965100039393	0.240128205905668	0.583294347580887	0.0745142850940266	0.0551033176002016	"S01"	0.875965100039393	"IS09"
"USP51"	"USP51"	0.136272694181074	0.127806247751747	0.19356295163433	-0.101869108286504	0.00413379300048881	-0.032961717007648	-0.16249441329033	-0.137177277283082	0.873983930852237	-0.109081493524163	0.170316923387734	0.112751558177362	-0.0874469718981924	"S01"	0.873983930852237	"IS09"
"TSPYL2"	"TSPYL2"	-0.175094305201918	-0.0113153209379115	0.0651048883849184	0.0557813424691517	-0.221832988321764	0.135185800416747	0.0418043652890831	-0.0938485343435905	0.753345059576702	0.530283143525158	0.0806641862078691	-0.238981801611934	0.222826471337319	"S01"	0.753345059576702	"IS09"
"GCNT4"	"GCNT4"	0.0940805216979161	0.338728032424909	0.0739837974394065	-0.0386462712217126	-0.147082795470733	-0.0935975249818115	-0.191091319882632	-0.133212634994899	0.726000677432205	0.153834779092463	-0.0677678376334144	0.243862871221998	-0.0976550725941381	"S01"	0.726000677432205	"IS09"
"RAB39B"	"RAB39B"	-0.00652757702139659	0.0667038877012087	-0.0129902598587834	-0.116721224733135	0.00707462416335699	0.0286120558131755	-0.0309753541362156	-0.0789395745278209	0.709538364107184	0.0536907337478362	-0.155723579431645	-0.0333943675559662	0.222590852656297	"S01"	0.709538364107184	"IS09"
"TBC1D4"	"TBC1D4"	-0.0692104390584721	0.462046162980549	-0.0163589730817388	0.0237260497786098	-0.328535799395291	-0.0827291096064806	-0.0839340100404751	-0.345341061471359	0.679037981577102	0.490494881492461	0.598169019802164	0.484007625088216	-0.0934632288594196	"S01"	0.679037981577102	"IS09"
"MAGEH1"	"MAGEH1"	-0.156538408459326	0.101207728577473	-0.0609578514924989	0.41045630947684	-0.12107796354003	0.173510888997879	-0.363859135126063	-0.209882736037161	0.675659147421638	0.11159821892525	0.373497804269504	-0.114069691782325	-0.0428914103850676	"S01"	0.675659147421638	"IS09"
"EPHB6"	"EPHB6"	0.0357731024377093	0.106752058568602	-0.0794008209382644	-0.108117707280826	0.00857787211801556	-0.126405997859221	0.00615329033855241	-0.114280083091891	0.660820861842287	0.0507735609442438	-0.0388442647241249	-0.0274115603246607	0.189811660718575	"S01"	0.660820861842287	"IS09"
"IZUMO4"	"IZUMO4"	-0.0514085831816754	-0.0868741855456544	-0.0202608959393206	0.00432833953694366	0.217680191945055	0.36319069659226	-0.0178235236579578	0.0444617505836841	0.660650597658509	-0.131231428202191	-0.0704380226976297	-0.0280651012862415	-0.148893222576067	"S01"	0.660650597658509	"IS09"
"CDKL2"	"CDKL2"	-0.0429817375807344	0.0391181162743646	-0.040248432965228	-0.0853311149458754	0.00408653460729528	-0.0977240573635798	-0.101601334383551	-0.063543227276534	0.64314719831109	0.0395793247388581	0.25996292415255	0.379108685918717	0.0264023752462983	"S01"	0.64314719831109	"IS09"
"C16orf87"	"C16orf87"	0.049384090816772	-0.0487311416681876	0.172966337540161	-0.00415783147738756	0.0474331613096498	0.0901359626798738	-0.0170032110615364	-0.217317503414804	0.634317998776895	0.0226628281098955	0.270934546175644	-0.0579664396126019	-0.0253437603343955	"S01"	0.634317998776895	"IS09"
"CRTC3"	"CRTC3"	0.0248639559128902	0.0296344489504871	0.185729076126255	0.0728182588269109	-0.192054995497274	-0.193893011897041	-0.140494282544089	-0.100383615421561	0.606112244140705	0.168510057862297	0.243468009612577	-0.211560943144297	0.0812958620233708	"S01"	0.606112244140705	"IS09"
