"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"State"	"MaxFC"	"InitialState"
"FOXD3"	"FOXD3"	4.20410159665043	-0.0692136619386298	-0.0686399012157528	-0.0490193559171958	-0.0685800582330015	-0.0687298617678049	-0.0642133279944921	-0.0660741930224719	-0.0659910459674939	-0.0682824017302541	-0.0648485793843799	-0.0261142372898158	-0.0694581252037552	-0.0638484795399779	-0.0666903999942796	-0.0680461304439903	-0.0640564550433654	"S01"	4.20410159665043	"IS01"
"PRIMA1"	"PRIMA1"	4.07377347001487	-0.00774558117746048	-0.108631859248186	-0.114108259118627	-0.10853714969348	-0.108774233899888	-0.101626212815038	-0.104571281561043	-0.10443969018324	-0.108066068314602	0.0698228933853303	-0.103570807569402	0.0418440618590876	-0.101048791151316	0.0276936582504739	0.0158460330085469	-0.101377940308161	"S01"	4.07377347001487	"IS01"
"COL28A1"	"COL28A1"	3.67348318642392	-0.0582019248820774	-0.0827219920810074	-0.0868922116634597	-0.0826498717740493	-0.0828304088465133	-0.0773872676937424	-0.0796299058587438	-0.0795297004402974	-0.0822911483722522	-0.078152846599204	-0.0788680556778989	-0.0264186427706295	-0.0769475673091189	-0.0803725332130856	0.164002243550054	-0.0771982108508424	"S01"	3.67348318642392	"IS01"
"SERPINA5"	"SERPINA5"	3.55462341632707	0.0827057755357433	-0.0411929683064175	-0.0781449959494444	-0.0743297215177365	-0.0744920843869321	-0.0695968902700766	-0.0716137678125525	-0.0121139799473968	-0.0740071098792047	-0.0702854003139685	-0.0709286111321496	-0.0752814044863963	-0.069201453393542	-0.0722816367790113	-0.0737510299142247	-0.0694268652938467	"S01"	3.55462341632707	"IS01"
"PMP2"	"PMP2"	3.48186440540656	-0.0536142781298855	-0.0531698316706936	-0.0558502539822317	-0.0531234761069005	-0.053239516902241	-0.0497409200772366	-0.0511823831118142	-0.0511179757505158	-0.0528929054640754	-0.0502329984291961	-0.0506927014098293	-0.0538036442336555	-0.0494583012131614	-0.0516597092790291	-0.0527098850299436	-0.0496194031715104	"S01"	3.48186440540656	"IS01"
"SOX10"	"SOX10"	3.43379946808434	-0.056151513467586	-0.055686034080202	-0.0584933043592223	-0.0556374847915532	-0.0177391600813431	-0.0520948531068665	-0.0536045317563306	-0.0535370763891875	-0.055396002652701	-0.0526102185127053	-0.0530916764192276	-0.0563498411089726	-0.0517988596233048	-0.054104446846894	-0.0552043209826224	-0.0519675855504165	"S01"	3.43379946808434	"IS01"
"FAM181B"	"FAM181B"	3.43137160702273	-0.112007525710937	-0.0829080006824297	-0.0290194963554391	-0.11098217347034	-0.111224598488842	-0.10391555344529	0.155451015634504	-0.106792410210134	0.294592908517207	-0.104943572110866	-0.10590395421837	-0.112403137280777	-0.103325124164351	-0.107924165299263	-0.11011812540699	-0.10366168808671	"S01"	3.43137160702273	"IS01"
"MPZ"	"MPZ"	3.39534844594584	-0.147867614761719	-0.146641836105317	0.366340224888293	-0.0957927271977986	-0.100034449429161	-0.13718493402179	0.0702645478753963	-0.140982839074407	-0.0675255822556297	-0.138542080937093	-0.0951804675092952	-0.127447500757329	-0.136405474169394	-0.142476934443996	-0.119656104877081	-0.136849791674832	"S01"	3.39534844594584	"IS01"
"S100A1"	"S100A1"	3.36831538166931	-0.00557542817317499	-0.0487825581851504	-0.0847306360118577	-0.0805938307662919	-0.0338933110371605	-0.0754621419501525	-0.0776489910868852	0.0640726318222956	-0.080244031153591	0.0521893711919061	-0.0318034613060325	-0.0816257164582223	-0.0750333797799811	-0.0315400467828821	-0.0799663701461391	-0.0752777881831733	"S01"	3.36831538166931	"IS01"
"SEMA3B"	"SEMA3B"	3.29443529690332	-0.053010305819381	-0.0340620234251839	-0.2382250654574	-0.0118984450740795	-0.212043399183168	-0.0926622460812722	0.0724391380117223	0.0212268128518406	-0.195124544559365	-0.0412241697634318	0.704721105697901	-0.123964714511895	0.096639778204913	-0.106708566537247	0.110028188768376	-0.0406202241877905	"S01"	3.29443529690332	"IS01"
"SCN9A"	"SCN9A"	3.19200959176628	-0.108586376880696	-0.0812031922602085	-0.150404176922418	0.0024951971020168	-0.028419488962478	0.167785503575727	0.114224798851191	0.0106191012131859	-0.103982578908252	0.103909307008475	-0.108302064530037	-0.04555658952395	0.0360403808065358	-0.116167230542624	0.023410256512707	-0.155314850442272	"S01"	3.19200959176628	"IS01"
"C2orf88"	"C2orf88"	3.15068594533312	0.138450403581096	0.00509459466017016	-0.16733057221569	-0.171032401744692	0.209741551981048	0.249948795708685	0.00290270980662088	-0.126244884464312	-0.126580523513065	0.0631041900765207	-0.00572778803941564	-0.173222220574977	-0.159232276624319	-0.166319766681782	-0.0472192060011795	-0.159750948535148	"S01"	3.15068594533312	"IS01"
"NKAIN3"	"NKAIN3"	3.08368186136285	-0.023923838191743	-0.0634795813578374	-0.0666797435711106	-0.0634242373461915	0.00228561621011828	-0.059385796111087	-0.0611067620630673	-0.0610298659698671	-0.0631489585382653	-0.0599732895598365	0.113295036080284	-0.0642362915991891	-0.0590483768150013	-0.0616766428453426	-0.0629304500312125	-0.0592407168046267	"S01"	3.08368186136285	"IS01"
"ANGPTL7"	"ANGPTL7"	2.97638535630158	-0.0505359041165564	-0.0501169764646303	-0.052643496818026	-0.0500732825008425	-0.050182660575331	-0.0468849428803807	-0.0482436413510847	-0.048182932070861	-0.0498559505455437	-0.0473487675420168	0.0664470072013415	-0.0507143973761292	-0.0466185511594694	-0.0486935608549948	-0.0496834386059397	-0.0467704031176436	"S01"	2.97638535630158	"IS01"
"CADM4"	"CADM4"	2.88475575881809	-0.116501797951292	-0.0234753033771717	0.217309906617608	-0.155080920217785	-0.0406015436561841	-0.145206379991673	0.00722552616264426	-0.149226355276677	-0.154407825946006	0.212083989793728	-0.058177964669214	-0.0925864611052614	-0.0472718346054842	-0.04451695940229	-0.153873542811245	0.016495218736891	"S01"	2.88475575881809	"IS01"
"ASPA"	"ASPA"	2.803464622396	0.312575600648728	-0.209398548985572	0.0881843990636629	-0.0887701164863494	-0.209672990072054	-0.129890019805885	-0.0495457414381143	-0.174115544992661	-0.0838425224512743	-0.0992764408179567	-0.083482361684112	-0.129282712267221	-0.138649883804725	0.327484321324101	-0.172409827321355	-0.195415909721064	"S01"	2.803464622396	"IS01"
"CHADL"	"CHADL"	2.76188354235027	0.137326410844844	-0.0302682313375051	-0.0860473847019986	-0.0888592216817422	-0.0334574520085183	-0.131692052417676	-0.0714283678303489	-0.00807613198130015	-0.140037121711504	-0.132994859201692	-0.0944151154192468	-0.0371306022898173	-0.00833603117019195	-0.0386340286980367	0.0418882968993943	-0.131370329162584	"S01"	2.76188354235027	"IS01"
"MAB21L1"	"MAB21L1"	2.51423627297189	-0.0259709358080976	0.0221545056092167	-0.0764453119253908	-0.0727130211949445	-0.026188305121693	-0.0680831308657971	-0.0700561405380944	-0.069967982643122	0.0994709503760378	-0.0687566655487233	-0.0693858862816983	-0.0736440046892727	-0.0676962948949687	-0.0707094830950415	-0.016070538565537	-0.0679168039988611	"S01"	2.51423627297189	"IS01"
