"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"	"InitialState"
"CEP55"	"CEP55"	-0.107578819395105	-0.196803854776793	-0.159195955534277	-0.0901723947809706	-0.213267431972837	-0.156721397360957	2.06076259206422	0.147555605687191	-0.193339988556902	-0.158083979270487	-0.0941331001986145	-0.11607731228588	"S01"	2.06076259206422	"IS07"
"UHRF1"	"UHRF1"	-0.159538066675915	-0.185979269840145	-0.196944279080292	-0.0468416085323316	-0.213116592286205	-0.211341364402374	2.05891088128387	0.223188856945389	-0.209338018381081	-0.178053001728181	-0.134174228077504	-0.037178194845459	"S01"	2.05891088128387	"IS07"
"CENPW"	"CENPW"	-0.238674051905875	-0.0130572128379197	-0.29151004960005	0.0778356434447311	-0.0607297025631102	-0.311086181034078	2.02272198324532	-0.140001959592682	-0.21443877937496	-0.283101208840358	-0.0689305199926763	-0.0118776506837189	"S01"	2.02272198324532	"IS07"
"SMC2"	"SMC2"	-0.172185471622548	-0.175777204541447	-0.289440870198579	-0.0550157910946882	-0.310636077642785	-0.107534718802212	1.86469277046347	0.484829471952628	-0.249425414641783	0.0982113723266486	-0.22410125951884	0.0626296825075841	"S01"	1.86469277046347	"IS07"
"DIAPH3"	"DIAPH3"	-0.155273442254244	-0.130340271991346	-0.164337451007298	-0.115403258202653	-0.161580354699008	-0.151732795768347	1.82087569932587	0.0686339977168608	-0.107637919081715	-0.0684567446776988	-0.163969311556117	-0.0639120277542217	"S01"	1.82087569932587	"IS07"
"DTYMK"	"DTYMK"	-0.289390476338242	0.0395531740225673	-0.308886897832505	0.121005601077773	-0.102140634033664	-0.335072508532821	1.77356143109844	0.12205048793495	-0.243436858430166	-0.152737713939509	-0.0805698993501342	-0.0449878296717308	"S01"	1.77356143109844	"IS07"
"ANLN"	"ANLN"	-0.171395960402037	-0.174279671556342	-0.138948195250167	-0.15724151399431	-0.178357738926093	0.0334968061735219	1.71009314432275	0.236225934568296	-0.157429184462104	-0.141792156069899	-0.0711940675454666	-0.0718050894053713	"S01"	1.71009314432275	"IS07"
"SGO2"	"SGO2"	-0.115521688994716	-0.157030296845495	-0.177131660819876	-0.110070461202387	-0.159338765059686	-0.0721264826795793	1.66953890650139	0.325993635836842	-0.22271718558457	-0.0682059396357054	-0.22582320775213	0.0859634846946115	"S01"	1.66953890650139	"IS07"
"DHFR"	"DHFR"	-0.17787221167572	-0.00031438959403562	-0.180364837558549	-0.000621508961211053	-0.214013970365184	-0.121438509148077	1.66679692028868	-0.0724413805373346	-0.222605243570715	-0.0456018326996034	-0.0615751055419276	0.000861391102010072	"S01"	1.66679692028868	"IS07"
"PRC1"	"PRC1"	-0.0864719730038674	-0.169195948171106	-0.0381821546980325	-0.0774785155523238	-0.207783342496586	-0.0519933565061102	1.61126907418529	0.00394961520277765	-0.125325801422212	-0.0879502462689633	-0.0891941096466383	-0.132112294308371	"S01"	1.61126907418529	"IS07"
"GGH"	"GGH"	-0.0908097521486935	0.0546513831870289	-0.147658688670239	0.0167770863775828	-0.276884065715675	-0.22457622751704	1.58728138367877	0.0754350981143925	-0.310081838570168	-0.123490675545703	0.0523257352044129	-0.0403946445962609	"S01"	1.58728138367877	"IS07"
