"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"ANTXR2"	"ANTXR2"	0.715076094492682	-0.527897452133057	0.568614659289934	0.0217884837059429	-0.361825711140946	-0.235674298583836	"S01"	0.715076094492682	"IS01"
"G3BP1"	"G3BP1"	0.714826003251209	-0.447600682492628	0.134918746262624	0.108800007546945	0.0107569415858552	-0.269241190121558	"S01"	0.714826003251209	"IS01"
"RAB5B"	"RAB5B"	0.712813664873737	-0.416875826493748	0.0894670860726636	0.240981445336296	-0.04899143507439	-0.385679307763705	"S01"	0.712813664873737	"IS01"
"TYK2"	"TYK2"	0.711525058989268	-0.351831617264681	-0.0678861835224813	0.169162881873404	0.0288921936531273	-0.214567379848096	"S01"	0.711525058989268	"IS01"
"RNF19B"	"RNF19B"	0.709031398005288	-0.375037525859311	-0.0310170375025246	0.0243563604881692	0.0922326212284932	-0.0764502107924627	"S01"	0.709031398005288	"IS01"
"PIK3CA"	"PIK3CA"	0.708270080650471	-0.21450277469014	-0.0260941698976588	0.0934379989035737	-0.153738583371744	-0.131845726413395	"S01"	0.708270080650471	"IS01"
"AGPAT3"	"AGPAT3"	0.707872805189133	-0.28318704586711	-0.0631126575932829	0.102417946083025	-0.0745584315056648	-0.0873971393058752	"S01"	0.707872805189133	"IS01"
"NUB1"	"NUB1"	0.707066274500555	-0.49560079953768	0.0544162704589136	0.33910500854622	-0.0835395349586566	-0.338467256039047	"S01"	0.707066274500555	"IS01"
"RASSF4"	"RASSF4"	0.705926354599118	-0.510090466070174	0.316022041771551	0.328564120712252	-0.223913063168977	-0.528748423102974	"S01"	0.705926354599118	"IS01"
"SUZ12"	"SUZ12"	0.705261549034096	-0.385248171249205	0.0409811281695971	0.209996740829353	-0.168509623360858	-0.164215017594752	"S01"	0.705261549034096	"IS01"
"GPR132"	"GPR132"	0.703266076639985	-0.438828476450209	0.0151637518010741	0.00534005829203719	0.141786046310709	-0.0799044974062166	"S01"	0.703266076639985	"IS01"
"ZFAND5"	"ZFAND5"	0.702863041747309	-0.665435525231171	0.432902282629181	0.00608171182183882	0.0733246744049955	-0.311864230139783	"S01"	0.702863041747309	"IS01"
"AKAP13"	"AKAP13"	0.702393215595208	-0.634068653968736	0.139207033954364	0.227730437098902	-0.0700342317488578	-0.107446451482612	"S01"	0.702393215595208	"IS01"
"KCMF1"	"KCMF1"	0.701499241673051	-0.247503666625367	-0.203050903418619	0.0710538855051118	0.0763154887454452	-0.0472932990660914	"S01"	0.701499241673051	"IS01"
"PDPK1"	"PDPK1"	0.701416621925539	-0.337002429583649	0.193289956122157	0.031716125415586	-0.150082926042267	-0.190228574015389	"S01"	0.701416621925539	"IS01"
"QKI"	"QKI"	0.700859074772549	-0.394909765699585	0.00854562877662446	0.0780339654418598	0.131677005608569	-0.233928844404355	"S01"	0.700859074772549	"IS01"
"BCL9L"	"BCL9L"	0.695781423153269	-0.362293235624457	-0.0195014299117511	0.106089893400231	0.088175474872745	-0.228425609671137	"S01"	0.695781423153269	"IS01"
"SESN3"	"SESN3"	0.693774641145998	-0.276581850482953	0.0907799916989115	0.133104541080421	-0.230954358886323	-0.184890244823794	"S01"	0.693774641145998	"IS01"
"ARHGAP10"	"ARHGAP10"	0.693227336073045	-0.411395178180249	0.292405925687648	0.114836916748964	-0.337086826199627	-0.147333904096901	"S01"	0.693227336073045	"IS01"
"POGLUT1"	"POGLUT1"	0.692892761800349	-0.419933620478401	0.229856712950804	0.0631475867406848	-0.186916193504192	-0.13235490023726	"S01"	0.692892761800349	"IS01"
