"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"BLK"	"BLK"	-0.0583535367180321	-0.159207331760933	-0.188373890590325	0.158656854610372	-0.11785655149424	0.0312814890546868	-0.0903222403389836	-0.0360665693410912	-0.200812309614172	2.04311693548262	-0.0849439100200388	-0.058314428814857	-0.181784535765946	0.0440789618113782	"S01"	2.04311693548262	"IS10"
"MXD3"	"MXD3"	-0.126228834025433	0.299305782938634	-0.075821154559106	-0.188258451495251	-0.0846814890413582	-0.1376533320726	0.00865427411364654	-0.0271900403110374	-0.103406708162149	1.91773367717634	-0.0810201946789219	-0.213954140700278	-0.185880288497552	0.0829073494406334	"S01"	1.91773367717634	"IS10"
"BASP1"	"BASP1"	0.140587627127083	0.0963914554454941	-0.130577392938841	-0.0554250502137975	-0.0206565686274399	-0.392672283199408	-0.239140488603082	-0.336927349838361	-0.361375237050041	1.8565337336714	-0.350759122762742	0.0710579698572407	0.225284660215954	-0.276087284044959	"S01"	1.8565337336714	"IS10"
"DTX1"	"DTX1"	0.0175642385123456	-0.038200018444005	-0.152998905611811	-0.0716181598861781	-0.0238683446916298	-0.159198762982134	-0.156062729202794	-0.125068088225607	-0.15783919648249	1.81171130764631	-0.0671306939842923	-0.0630405494679641	0.0188972795734841	-0.156755486328935	"S01"	1.81171130764631	"IS10"
"MBD4"	"MBD4"	0.107230708568641	0.0103212232557553	-0.275615759599263	0.0547724450904287	-0.0021392490476251	0.199172175061615	-0.114288000599283	-0.0947010761139669	-0.0861785308084878	1.80244145635747	-0.12888958981256	-0.32501124787766	0.340289617833454	0.130543648713932	"S01"	1.80244145635747	"IS10"
"TCEA1"	"TCEA1"	0.129752247473755	0.403758887999341	-0.212943159031826	-0.274915911102513	-0.0104550136263365	0.323550850861353	-0.0792907493486722	-0.000767500238913368	-0.0610265523924227	1.77228462759964	-0.35191011123761	-0.340033099334808	-0.0517705447583118	-0.0913244464772702	"S01"	1.77228462759964	"IS10"
"RPL39L"	"RPL39L"	-0.324195847611181	0.303303633480581	-0.0111224946422712	0.0767165126216535	-0.147367496818423	-0.0644725528599112	0.0557301896208706	0.0753217166350685	-0.103915827169737	1.6929834813801	-0.0454446053823397	-0.0614883150855523	-0.175220666704952	-0.211404466102653	"S01"	1.6929834813801	"IS10"
"CR2"	"CR2"	0.0386748231998643	-0.172903968948936	-0.145659430143982	-0.193764169677379	-0.0782020531790595	-0.0869288127451044	-0.120458053621063	0.0571701404228474	-0.114739243389226	1.64229511674611	-0.0410066948094254	-0.0646898601608845	-0.0590567047925418	0.0161236971249656	"S01"	1.64229511674611	"IS10"
"STAP1"	"STAP1"	0.142481673435367	0.0373473102713662	0.0516325329643388	-0.102668073618991	-0.133975648883646	0.213793087372781	-0.196707630160346	-0.0910395059514576	0.00975911768574667	1.54642941946298	-0.301677238579683	-0.131766234997727	-0.144246189589576	-0.0338471632039158	"S01"	1.54642941946298	"IS10"
"FBXO5"	"FBXO5"	-0.0223610212273438	0.177924970888689	-0.117511868267622	-0.178395532819964	-0.0746235622356912	0.00344485334208551	-0.197438898742556	-0.134501498790849	-0.153457755165526	1.54402580892194	-0.197397492415404	0.0965988019941374	-0.14015106672549	0.340955884630487	"S01"	1.54402580892194	"IS10"
"TNFRSF13C"	"TNFRSF13C"	0.211832594388137	-0.0758160275736252	-0.00232107412107081	-0.196306470726362	-0.127724555726843	-0.192529619893028	-0.172122989936383	-0.229365032114943	-0.258622399878147	1.52051888457659	-0.188125347633395	-0.0645617927060948	-0.073427130454585	-0.000126600799765918	"S01"	1.52051888457659	"IS10"
"ACADM"	"ACADM"	-0.101754387353615	0.412101218435098	-0.174507631330721	-0.31631352433894	0.118130371369912	0.250985810869388	0.0744897309670092	-0.0669056548673045	-0.371257023243389	1.51930271686247	-0.21924335672541	-0.303519244020136	0.0555383084893415	0.313483421302026	"S01"	1.51930271686247	"IS10"
"BORCS8-MEF2B"	"BORCS8-MEF2B"	-0.179319962971865	0.109584850750188	0.243197310512403	-0.148606886358855	-0.0739565368227438	0.197707732388064	0.0232507348178619	-0.150469906246345	-0.146431267038432	1.51270791445653	-0.156079100844172	-0.168890471692075	-0.146729619253262	-0.145425882733241	"S01"	1.51270791445653	"IS10"
