"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"SH3KBP1"	"SH3KBP1"	0.0250286240282654	0.0115133255242979	0.408839985787835	0.621121880599329	-0.413580244576799	0.0751795353254169	-0.424204852471358	"S01"	0.621121880599329	"IS04"
"GBP4"	"GBP4"	-0.0555114494821623	-0.186862912305525	0.119901503165847	0.620198194432977	-0.282899400353074	0.320099385845322	-0.185233223831496	"S01"	0.620198194432977	"IS04"
"MDFIC"	"MDFIC"	-0.000761054993098745	-0.188595622817314	0.0489874778561703	0.61992495412884	-0.302265692442186	0.219241286430781	-0.0426127024116446	"S01"	0.61992495412884	"IS04"
"PTPRC"	"PTPRC"	-0.141063158057873	-0.0396649746477277	0.0388926333938237	0.618211157540363	-0.378733123657436	0.330220416303576	-0.132729465866054	"S01"	0.618211157540363	"IS04"
"GALNT1"	"GALNT1"	0.14359616267565	-0.0383847993934085	-0.220632719680705	0.617337488192854	-0.224312228347296	0.0591705284628683	0.00180574559297747	"S01"	0.617337488192854	"IS04"
"SMARCA5"	"SMARCA5"	0.155049152343772	-0.113684004776714	-0.00514029908226958	0.61335368846836	-0.347661793966984	0.132068618173624	-0.0550824417999789	"S01"	0.61335368846836	"IS04"
"TBC1D4"	"TBC1D4"	-0.107590429663488	-0.194198865991537	0.576022058769541	0.612966472817475	-0.130711746921785	-0.231502450864777	-0.298983326978323	"S01"	0.612966472817475	"IS04"
"TACC1"	"TACC1"	0.159909891608542	-0.095371768731948	0.0506201049642003	0.611623685678044	-0.292766539665694	0.0558521009622731	-0.130824757972222	"S01"	0.611623685678044	"IS04"
"MCM8"	"MCM8"	0.329470644545419	-0.132071387036543	-0.00442714255830912	0.61088750234208	-0.210279488679098	-0.105091099766267	-0.0946649281294153	"S01"	0.61088750234208	"IS04"
"SUPT16H"	"SUPT16H"	0.572375101986461	-0.234730856871087	0.0570767975586641	0.608795501854896	-0.380151129331652	-0.0476223327461509	-0.0518027211691567	"S01"	0.608795501854896	"IS04"
"HNRNPD"	"HNRNPD"	0.52219995357128	-0.306344375028891	0.121579887773473	0.606668131119856	-0.547235920415227	0.183984927669698	-0.00863584900153556	"S01"	0.606668131119856	"IS04"
"ERBIN"	"ERBIN"	0.159688158206155	-0.393430517903462	-0.0290765149276868	0.605916787750922	-0.280191464573727	0.253360448006795	0.137775628444505	"S01"	0.605916787750922	"IS04"
"ZC3H12D"	"ZC3H12D"	-0.151820236632266	-0.21678647076408	0.572641649974042	0.605204635287756	-0.148055547639913	-0.161056653983903	-0.2749516777489	"S01"	0.605204635287756	"IS04"
"EIF3A"	"EIF3A"	0.312356212361323	-0.226150464223147	0.157292520601792	0.603884358658267	-0.410740464054121	-0.0369452277445877	0.032127180630755	"S01"	0.603884358658267	"IS04"
"EP400"	"EP400"	0.138948398916436	-0.164946685581138	-0.0833138758521259	0.601440058320426	-0.243012284160817	0.1337831464244	-0.0108714692292158	"S01"	0.601440058320426	"IS04"
"PDS5A"	"PDS5A"	0.159406582966762	-0.173683984939922	-0.0453436669837107	0.59370530420414	-0.240870047780292	0.110625964334075	-0.0298473843855133	"S01"	0.59370530420414	"IS04"
"BRD7"	"BRD7"	0.409848266763639	-0.303933486930348	0.0245561559464837	0.586429052807219	-0.408983424123114	0.212918937420203	-0.00274739991856918	"S01"	0.586429052807219	"IS04"
"TRAPPC10"	"TRAPPC10"	-0.000327850150832158	-0.164402727248128	0.00654885511812745	0.585239263905023	-0.220256391538935	0.126449530626706	-0.0203333078336677	"S01"	0.585239263905023	"IS04"
"ATAD5"	"ATAD5"	0.392279031914608	-0.108394627407187	-0.0961336641055692	0.58329552737744	-0.259179503269487	0.0207679249923798	-0.108235228999819	"S01"	0.58329552737744	"IS04"
"XRCC5"	"XRCC5"	0.51945053451504	-0.130746001389426	0.205263815015124	0.579202411357658	-0.709813545040741	-0.00601044384621183	0.0444671709870159	"S01"	0.579202411357658	"IS04"
"RANBP9"	"RANBP9"	-0.0202079053666251	-0.168137234716324	0.0167958157007796	0.57728468954184	-0.146558191767799	0.0731459435166061	-0.0433271821070085	"S01"	0.57728468954184	"IS04"
"SMCHD1"	"SMCHD1"	0.217926661192817	-0.194628735849587	-0.0122084247617524	0.576922824407082	-0.265457827461652	0.122321976631696	-0.0486023357942928	"S01"	0.576922824407082	"IS04"
"SMC1A"	"SMC1A"	0.543951247797672	-0.337303167075244	-0.0115938157488249	0.576336587490278	-0.382689423408434	0.279624614800041	-0.0902324549304978	"S01"	0.576336587490278	"IS04"
"CDV3"	"CDV3"	0.146996337379627	-0.458279202049506	0.224388691828156	0.574046296824666	-0.345296965204951	0.13833880692508	0.156048012864137	"S01"	0.574046296824666	"IS04"
"FNBP1"	"FNBP1"	-0.0634988909885188	-0.21354106167678	0.217496397898456	0.569122707696379	-0.297960411796871	0.193318030191177	-0.0932837491459865	"S01"	0.569122707696379	"IS04"
"MLLT6"	"MLLT6"	-0.0782611665149486	-0.145168766559188	0.0601281625984512	0.563723453434679	-0.100704049519005	-0.0252578691950607	-0.0365643265092294	"S01"	0.563723453434679	"IS04"
"LPIN2"	"LPIN2"	0.0602173306174212	-0.164308355113886	-0.086134697235185	0.563318874496565	-0.243987123924826	0.080578130751018	0.109807803101037	"S01"	0.563318874496565	"IS04"
"STK17B"	"STK17B"	-0.272847510421965	-0.234768497887539	0.225699905125361	0.560412599177716	-0.303255464942599	0.155750245537313	0.101524612624206	"S01"	0.560412599177716	"IS04"
"PPP1R12A"	"PPP1R12A"	0.121707445365745	-0.160506708226814	0.0145835288860727	0.557984435632199	-0.49560932452187	0.419786338106444	-0.0440131803686579	"S01"	0.557984435632199	"IS04"
"TPR"	"TPR"	0.364617508155682	-0.293785225119721	0.174088534330203	0.555080811284411	-0.391208292639675	0.287429693376956	-0.19806265161937	"S01"	0.555080811284411	"IS04"
"ANP32B"	"ANP32B"	0.428286622468956	-0.390571738449756	0.231791916958946	0.553840003638202	-0.416588155362092	0.422165079301251	-0.26300312415377	"S01"	0.553840003638202	"IS04"
"SF3B3"	"SF3B3"	0.10724610340493	-0.228118236202169	0.0908860045293308	0.550140825090138	-0.335226046867158	0.123480108668103	0.0503363081665525	"S01"	0.550140825090138	"IS04"
"KNTC1"	"KNTC1"	0.217823541018363	-0.188159181529594	-0.0831941383007013	0.549668197150619	-0.192618012197062	-0.0375975924300316	0.0855015862132785	"S01"	0.549668197150619	"IS04"
"SMARCC1"	"SMARCC1"	0.252145221234212	-0.241425913716136	0.114139765544025	0.547728868981829	-0.244498692546444	0.0317542893540058	-0.0698789570823215	"S01"	0.547728868981829	"IS04"
"DNAJC21"	"DNAJC21"	0.323108693015014	-0.299275347953211	0.0829734123378638	0.547050532086245	-0.343398461884106	0.11008519944498	0.0274924953494933	"S01"	0.547050532086245	"IS04"
"BRCA2"	"BRCA2"	0.465999171339388	-0.239110021615749	-0.111264707765745	0.546806387245283	-0.190039767372816	0.205281476882213	-0.187630079622957	"S01"	0.546806387245283	"IS04"
"AGFG1"	"AGFG1"	0.0899097363944106	-0.160346590744425	-0.0570782441241677	0.546371826234175	-0.190175866110513	0.231733105250797	-0.116835847644177	"S01"	0.546371826234175	"IS04"
"IKZF2"	"IKZF2"	-0.148593013825802	-0.340454799179968	0.201382696240048	0.545844942123206	-0.241799460002664	0.00628679976964993	0.241475751302858	"S01"	0.545844942123206	"IS04"
"CCAR1"	"CCAR1"	0.120154200275151	-0.157455671184489	-0.0471285601503166	0.545165100366756	-0.411454808034096	0.544947228965667	-0.172030722468919	"S01"	0.545165100366756	"IS04"
"DOCK2"	"DOCK2"	0.172890899123441	-0.199532561953466	0.0657904592160471	0.544849691306746	-0.316907194717799	0.272075238567044	-0.141979722200485	"S01"	0.544849691306746	"IS04"
"CDK6"	"CDK6"	0.176065967254077	-0.176551158966239	0.154870819585913	0.542045024794318	-0.301911816737074	-0.0157742689783505	-0.0360046697094777	"S01"	0.542045024794318	"IS04"
"EFHD2"	"EFHD2"	0.0642056858708854	-0.0973252521194559	0.482870070813034	0.540667974954621	-0.432208010500441	-0.00518899136762886	-0.256412025451305	"S01"	0.540667974954621	"IS04"
"PAK2"	"PAK2"	0.110869314435068	-0.374763093846107	0.363341493850024	0.539946651263607	-0.409975013003803	0.237308988003276	-0.0541217271188834	"S01"	0.539946651263607	"IS04"
"KMT2A"	"KMT2A"	0.0867723087269402	-0.167463079190301	-0.0881506866875505	0.539450748978539	-0.302922017950974	0.425629928765655	-0.111211184075112	"S01"	0.539450748978539	"IS04"
"EZR"	"EZR"	0.0751966990510645	-0.000764398605932038	0.178874999860669	0.536547178152861	-0.404054482179519	0.271921173753072	-0.335641885183025	"S01"	0.536547178152861	"IS04"
"TTL"	"TTL"	0.0994828290022201	-0.184736539184635	0.073758427666145	0.536457375663678	-0.199809274114676	0.105640641012399	-0.102969142531858	"S01"	0.536457375663678	"IS04"
"CACYBP"	"CACYBP"	0.197902127659635	-0.186197360984948	0.485917888023213	0.531025715173538	-0.501734128023204	0.0295304080438591	-0.185876274894346	"S01"	0.531025715173538	"IS04"
"VDR"	"VDR"	-0.0803585248043278	-0.171892724469118	0.457131344211445	0.526865416137398	-0.229894185474229	-0.107638527903235	-0.170494576097228	"S01"	0.526865416137398	"IS04"
"IQGAP1"	"IQGAP1"	0.0751004943839976	-0.172945718251325	-0.00449778754268403	0.526080293921053	-0.269100697507399	0.182594593240221	-0.00682150062758889	"S01"	0.526080293921053	"IS04"
"ROCK1"	"ROCK1"	0.129224374389596	-0.242120317515999	0.0539894270498979	0.525569490604901	-0.433541800029593	0.428907603267538	-0.0439227379521582	"S01"	0.525569490604901	"IS04"
"MAPKAPK2"	"MAPKAPK2"	0.0477975082114995	-0.240961724467424	0.174510128019661	0.525411985373974	-0.231810119618878	0.135970616157008	-0.0861868871235673	"S01"	0.525411985373974	"IS04"
"LUC7L3"	"LUC7L3"	0.115331874963546	-0.278695718686867	0.0633379216165306	0.524833582131911	-0.375298093979267	0.28009584543038	0.0619752418071404	"S01"	0.524833582131911	"IS04"
